id,label,ts_in,ts_out,attr_1,attr_2,attr_3
1,customer-1922,0,85,0,205,0
2,customer-6685,1,4,62,141,139
3,customer-5931,1,8,94,98,102
4,customer-9698,1,30,168,34,167
5,customer-6065,1,47,93,109,109
6,customer-6407,1,63,29,176,20
7,customer-6780,1,74,170,30,29
8,customer-3853,1,90,34,165,170
9,customer-4241,2,18,44,158,158
10,customer-8011,2,31,13,190,8
11,customer-9712,2,53,173,31,27
12,customer-9392,2,58,210,0,0
13,customer-7137,2,78,175,175,22
14,customer-8605,3,24,181,24,19
15,customer-6756,3,34,117,87,84
16,customer-919,3,48,57,144,54
17,customer-6773,3,70,184,17,15
18,customer-911,4,6,170,25,25
19,customer-2982,4,9,63,133,140
20,customer-926,4,16,31,171,168
21,customer-6177,4,18,38,158,162
22,customer-5358,4,25,9,10,187
23,customer-5201,4,32,170,30,170
24,customer-6491,4,50,142,135,62
25,customer-9824,4,59,243,0,0
26,customer-173,4,64,200,5,5
27,customer-9273,4,78,0,230,0
28,customer-9926,4,101,167,172,31
29,customer-2647,5,12,61,138,134
30,customer-5471,5,12,91,111,108
31,customer-3197,5,13,145,58,57
32,customer-5211,5,57,57,54,142
33,customer-8448,5,70,73,129,75
34,customer-6121,5,79,27,171,177
35,customer-9233,5,82,120,84,80
36,customer-1551,5,99,0,213,0
37,customer-2285,6,10,55,143,141
38,customer-9254,6,14,76,70,126
39,customer-9190,6,16,210,0,0
40,customer-6923,6,20,18,185,181
41,customer-6762,6,22,92,110,94
42,customer-3354,6,24,150,46,54
43,customer-1559,6,50,74,124,77
44,customer-915,6,52,0,205,0
45,customer-4179,6,66,101,100,96
46,customer-4678,6,79,52,56,147
47,customer-8390,6,81,62,139,58
48,customer-4650,6,96,115,118,82
49,customer-1166,7,14,196,7,0
50,customer-2280,7,16,131,131,74
51,customer-8548,7,16,94,92,105
52,customer-3323,7,23,78,121,79
53,customer-3192,7,32,100,103,99
54,customer-5073,7,37,238,0,0
55,customer-6558,7,50,41,157,45
56,customer-425,7,52,210,0,0
57,customer-5410,7,64,182,17,15
58,customer-6815,7,69,47,49,150
59,customer-607,7,73,82,114,123
60,customer-29,7,74,23,182,179
61,customer-943,7,79,71,128,71
62,customer-8825,7,92,26,32,170
63,customer-7163,8,8,7,1,195
64,customer-359,8,11,139,57,56
65,customer-2744,8,11,184,182,14
66,customer-6465,8,27,0,209,0
67,customer-6593,8,46,0,211,0
68,customer-2613,8,54,26,178,17
69,customer-9129,8,62,50,152,46
70,customer-4456,8,65,193,4,5
71,customer-301,8,71,105,104,96
72,customer-3147,8,77,186,19,182
73,customer-4574,8,78,174,29,171
74,customer-9163,8,85,192,8,6
75,customer-2153,9,9,168,169,34
76,customer-7020,9,10,63,142,61
77,customer-4130,9,11,0,0,286
78,customer-4783,9,20,150,47,46
79,customer-7485,9,20,124,118,81
80,customer-1847,9,33,89,89,107
81,customer-2279,9,40,156,39,156
82,customer-9024,9,40,150,51,51
83,customer-7611,9,64,22,28,174
84,customer-6060,9,67,0,207,0
85,customer-5515,9,71,0,0,249
86,customer-2793,9,79,183,22,14
87,customer-2999,9,89,200,0,0
88,customer-6974,9,95,222,0,0
89,customer-7616,9,97,65,140,57
90,customer-4375,9,100,70,132,64
91,customer-7462,10,17,169,33,30
92,customer-3900,10,26,177,172,25
93,customer-5649,10,36,21,17,180
94,customer-2750,10,37,186,16,14
95,customer-6495,10,37,39,41,160
96,customer-6264,10,42,19,185,19
97,customer-2892,10,60,111,119,86
98,customer-6077,10,68,186,17,180
99,customer-6388,10,77,158,163,39
100,customer-8603,10,79,4,7,194
101,customer-7674,10,82,161,157,41
102,customer-9197,10,82,184,21,19
103,customer-190,10,96,14,14,191
104,customer-5019,10,100,89,108,114
105,customer-2649,10,101,196,2,3
106,customer-6041,10,104,220,0,0
107,customer-8778,11,20,29,167,175
108,customer-7690,11,27,89,92,109
109,customer-9537,11,33,0,206,0
110,customer-2917,11,40,55,45,150
111,customer-9939,11,40,200,2,0
112,customer-7379,11,44,132,68,71
113,customer-2956,11,50,244,0,0
114,customer-3463,11,52,139,146,58
115,customer-6988,11,55,187,11,15
116,customer-401,11,71,142,61,61
117,customer-5491,11,81,133,133,67
118,customer-253,11,102,34,34,162
119,customer-8957,11,104,215,0,0
120,customer-2036,11,105,172,29,169
121,customer-5297,11,110,193,8,196
122,customer-9271,12,18,117,109,88
123,customer-5894,12,48,75,126,120
124,customer-5284,12,50,44,158,157
125,customer-7191,12,50,23,178,21
126,customer-3946,12,79,31,36,164
127,customer-7277,12,81,137,64,134
128,customer-3170,12,82,84,120,83
129,customer-8617,12,86,99,99,97
130,customer-6448,12,88,31,169,168
131,customer-9756,12,106,103,96,102
132,customer-3122,13,23,190,189,15
133,customer-4201,13,35,78,120,80
134,customer-1038,13,38,58,137,63
135,customer-5652,13,38,89,108,97
136,customer-2090,13,40,170,35,31
137,customer-9121,13,40,88,87,116
138,customer-5870,13,50,145,59,143
139,customer-2923,13,51,18,19,178
140,customer-5952,13,56,134,135,66
141,customer-9602,13,60,122,76,78
142,customer-8146,13,67,36,162,39
143,customer-1282,13,84,154,154,43
144,customer-7489,13,90,37,164,162
145,customer-3703,13,96,66,136,69
146,customer-4315,13,99,119,82,81
147,customer-3359,14,16,190,12,11
148,customer-1930,14,19,114,89,116
149,customer-6859,14,30,65,140,60
150,customer-3081,14,33,44,155,151
151,customer-373,14,35,144,142,56
152,customer-5699,14,42,77,78,118
153,customer-9095,14,42,139,137,65
154,customer-1244,14,47,69,128,72
155,customer-3843,14,47,6,198,194
156,customer-8398,14,52,108,88,111
157,customer-8485,14,60,111,110,86
158,customer-7287,14,62,58,141,144
159,customer-491,14,64,113,88,85
160,customer-8395,14,66,254,0,0
161,customer-8910,14,83,0,207,0
162,customer-2636,14,85,92,103,106
163,customer-1717,14,89,107,95,95
164,customer-5023,14,95,104,92,97
165,customer-1285,14,100,46,151,51
166,customer-3539,14,101,160,151,44
167,customer-8858,14,107,91,90,110
168,customer-6011,14,109,41,157,40
169,customer-8631,14,109,25,178,20
170,customer-5761,15,15,184,18,20
171,customer-8932,15,15,135,67,131
172,customer-9276,15,18,149,52,152
173,customer-1575,15,22,145,56,148
174,customer-4640,15,29,102,99,98
175,customer-5842,15,47,104,100,97
176,customer-5590,15,49,190,5,7
177,customer-1966,15,50,114,90,81
178,customer-3753,15,50,98,107,103
179,customer-6856,15,54,139,64,61
180,customer-5479,15,62,80,117,88
181,customer-4110,15,64,64,140,139
