id,label,ts_in,ts_out,attr_1,attr_2
1,product-996,0,207,105,92
2,product-1496,4,43,157,44
3,product-588,4,49,64,131
4,product-1011,4,67,16,183
5,product-1125,5,13,131,71
6,product-624,5,57,136,64
7,product-466,5,88,175,30
8,product-1368,5,88,113,86
9,product-105,6,18,0,208
10,product-1845,6,20,119,83
11,product-1855,6,28,189,8
12,product-1299,6,39,91,104
13,product-860,6,74,156,47
14,product-1958,6,77,146,55
15,product-1697,6,89,188,12
16,product-675,7,41,151,54
17,product-1108,7,45,38,158
18,product-1675,8,27,134,66
19,product-1896,8,36,218,0
20,product-666,8,90,44,159
21,product-1026,9,21,190,11
22,product-641,9,28,95,106
23,product-1518,9,40,18,181
24,product-1171,9,42,0,220
25,product-488,9,62,206,0
26,product-1588,9,63,45,155
27,product-1254,11,12,88,112
28,product-966,11,37,135,65
29,product-1412,11,46,184,11
30,product-390,11,67,150,52
31,product-1984,11,87,167,28
32,product-522,11,95,32,168
33,product-1387,12,33,0,248
34,product-1020,12,43,7,196
35,product-1764,12,43,13,182
36,product-682,12,52,19,182
37,product-1564,12,65,180,21
38,product-349,12,74,7,193
39,product-1394,12,91,186,9
40,product-1300,13,14,113,84
41,product-1288,13,37,140,62
42,product-1247,13,48,109,92
43,product-342,13,75,51,153
44,product-283,13,96,29,170
45,product-907,14,26,253,0
46,product-1533,14,55,204,0
47,product-1417,14,57,68,135
48,product-354,14,69,3,193
49,product-519,14,77,9,187
50,product-62,15,73,194,10
51,product-763,15,102,113,90
52,product-1743,16,20,164,36
53,product-233,16,28,237,0
54,product-1078,16,60,21,181
55,product-362,16,67,190,6
56,product-1303,16,82,92,108
57,product-1526,16,100,55,146
58,product-1847,17,39,21,178
59,product-985,17,65,147,53
60,product-1638,18,19,36,162
61,product-1802,18,43,101,103
62,product-1920,18,69,60,135
63,product-191,18,83,159,39
64,product-302,18,111,92,103
65,product-1939,19,19,26,173
66,product-1369,19,86,85,111
67,product-1560,19,93,181,21
68,product-645,19,111,137,61
69,product-257,20,43,6,191
70,product-392,20,81,189,11
71,product-152,20,93,56,141
72,product-288,21,37,6,197
73,product-1060,21,38,53,146
74,product-1706,21,97,90,115
75,product-705,21,111,128,67
76,product-1856,22,23,12,190
77,product-871,22,26,196,2
78,product-880,22,26,130,75
79,product-1010,22,33,150,54
80,product-1594,22,95,156,43
81,product-640,22,96,92,104
82,product-727,23,41,76,127
83,product-1944,23,47,85,110
84,product-1828,23,67,143,56
85,product-1163,23,68,223,0
86,product-1798,23,98,172,25
87,product-319,23,109,188,10
88,product-1621,23,115,117,83
89,product-235,24,24,175,26
90,product-480,24,55,118,83
91,product-1028,24,56,88,107
92,product-1750,24,69,78,123
93,product-1287,24,73,200,1
94,product-1006,25,26,115,86
95,product-1096,25,56,189,6
96,product-1441,25,76,38,160
97,product-752,25,84,159,42
98,product-1881,25,85,141,61
99,product-723,25,97,187,15
100,product-972,26,84,172,28
101,product-474,26,97,69,127
102,product-1527,26,113,0,211
103,product-592,26,119,61,144
104,product-1071,27,35,148,48
105,product-215,27,43,121,78
106,product-410,27,69,136,63
107,product-104,27,75,2,197
108,product-693,27,75,183,14
109,product-1596,27,94,0,211
110,product-1040,27,97,36,161
111,product-759,27,98,142,62
112,product-801,27,126,69,127
113,product-1591,28,30,8,193
114,product-1131,28,44,27,171
115,product-1925,28,49,85,111
116,product-950,28,62,74,122
