id,label,ts_in,ts_out,attr_1,attr_2,attr_3
1,product-187720,0,24,79,83,119
2,product-252495,0,24,125,80,78
3,product-41774,0,25,11,194,194
4,product-224433,0,29,93,104,112
5,product-44018,0,31,10,7,193
6,product-186669,0,33,89,116,112
7,product-81897,0,34,0,212,0
8,product-18174,0,43,15,187,184
9,product-87732,0,44,67,67,136
10,product-111689,0,45,84,112,87
11,product-138083,0,47,125,71,78
12,product-248971,0,49,182,17,18
13,product-157931,0,57,57,60,145
14,product-177963,0,57,84,111,115
15,product-212400,0,57,168,165,37
16,product-286688,0,57,82,120,119
17,product-158127,0,60,165,167,36
18,product-39251,0,68,52,150,53
19,product-62562,0,69,93,102,109
20,product-136473,0,72,93,91,106
21,product-124328,0,74,69,65,134
22,product-257830,0,78,43,159,39
23,product-65166,0,79,174,24,171
24,product-87028,0,80,0,0,219
25,product-274372,0,90,179,24,177
26,product-279,0,100,120,113,82
27,product-118642,0,100,178,18,179
28,product-89434,0,101,159,43,155
29,product-261973,0,107,52,49,147
30,product-273126,0,107,0,203,0
31,product-207507,0,109,126,127,74
32,product-57070,0,111,3,193,5
33,product-239277,0,113,175,175,22
34,product-29720,0,116,71,134,64
35,product-272274,0,120,137,146,58
36,product-123678,0,122,212,0,0
37,product-241179,0,124,173,30,22
38,product-3236,0,125,116,79,79
39,product-267083,0,125,60,141,60
40,product-194973,0,128,58,146,49
41,product-86224,0,132,45,150,155
42,product-294978,0,137,43,159,45
43,product-239666,0,138,105,100,90
44,product-144025,0,145,188,188,15
45,product-191538,0,148,225,0,0
46,product-236082,0,157,207,0,0
47,product-44792,0,158,31,171,33
48,product-184524,0,161,27,172,171
49,product-191013,0,162,156,41,39
50,product-208604,0,163,60,135,70
51,product-219481,0,163,171,32,24
52,product-288409,0,163,272,0,0
53,product-138143,0,164,134,71,62
54,product-223156,0,167,95,93,105
55,product-195193,0,179,7,8,196
56,product-269599,0,179,99,104,99
57,product-26970,0,180,195,1,5
58,product-83722,0,180,132,73,68
59,product-114815,0,180,118,82,81
60,product-239329,0,181,63,62,140
61,product-17344,0,183,70,135,63
62,product-202278,0,184,0,0,245
63,product-188108,0,185,0,242,0
64,product-71774,0,186,190,11,7
65,product-129277,0,186,26,30,173
66,product-281334,0,189,199,0,5
67,product-237524,0,190,34,167,28
68,product-54326,0,192,12,193,185
69,product-172530,0,192,110,90,86
70,product-273509,0,192,3,198,4
71,product-298811,0,194,127,123,78
72,product-241963,0,196,215,0,0
73,product-187250,0,199,132,69,68
74,product-31734,0,200,0,227,0
75,product-57529,0,201,104,95,101
76,product-199810,0,204,135,65,135
77,product-4551,0,207,79,78,119
78,product-110590,0,207,133,63,66
79,product-87312,0,228,0,0,232
80,product-157704,0,235,122,75,127
81,product-36385,0,251,9,191,188
82,product-5155,0,256,151,54,54
83,product-64497,1,1,196,193,5
84,product-141394,1,2,153,42,50
85,product-299541,1,3,101,100,95
86,product-80005,1,4,46,149,154
87,product-140859,1,4,109,92,113
88,product-108478,1,5,82,123,79
89,product-161572,1,6,68,64,136
90,product-169610,1,6,228,0,0
91,product-251706,1,6,69,133,132
92,product-50228,1,7,200,200,1
93,product-54259,1,7,22,178,19
94,product-54019,1,8,180,179,25
95,product-260524,1,8,105,93,99
96,product-298923,1,8,163,170,32
97,product-227884,1,9,118,78,81
98,product-227689,1,10,12,193,183
99,product-106062,1,12,0,0,209
100,product-189184,1,12,57,62,140
101,product-111158,1,13,46,155,154
102,product-116076,1,13,124,117,78
103,product-151827,1,16,63,71,134
104,product-174655,1,18,96,108,95
105,product-286841,1,18,191,4,14
106,product-155163,1,21,0,206,0
107,product-186031,1,21,146,143,55
108,product-121319,1,23,0,211,0
109,product-245649,1,23,10,190,11
110,product-241268,1,24,43,160,153
111,product-87320,1,25,44,46,152
112,product-47911,1,27,104,99,96
113,product-215729,1,27,143,134,62
114,product-205723,1,28,50,152,47
115,product-258525,1,28,39,164,33
116,product-24708,1,29,36,163,33
117,product-161836,1,29,150,54,151
118,product-262854,1,29,180,22,179
119,product-292328,1,29,115,84,88
120,product-150012,1,31,122,124,74
121,product-107146,1,32,16,180,17
122,product-152678,1,32,0,206,0
123,product-270297,1,32,165,30,31
124,product-62457,1,33,0,0,227
125,product-76647,1,33,122,74,121
126,product-122212,1,33,17,15,185
127,product-156720,1,33,26,174,174
128,product-207056,1,33,207,0,0
129,product-252791,1,33,61,57,142
130,product-259789,1,33,132,73,67
131,product-286196,1,37,78,126,74
132,product-101443,1,38,46,158,37
133,product-150588,1,38,19,181,20
134,product-22745,1,39,28,169,30
135,product-174519,1,40,16,182,19
136,product-2929,1,41,170,31,30
137,product-159189,1,41,118,82,114
138,product-291114,1,41,87,97,108
139,product-244349,1,42,0,2,199
140,product-89939,1,43,136,61,63
141,product-259115,1,43,0,238,0
142,product-262308,1,44,27,174,174
143,product-281254,1,44,87,118,82
144,product-213685,1,45,165,39,163
145,product-191172,1,47,19,19,177
146,product-246855,1,47,0,0,230
147,product-274602,1,47,138,64,61
148,product-286873,1,48,99,105,97
149,product-70211,1,49,40,162,36
150,product-188818,1,49,152,43,161
151,product-35931,1,51,49,151,147
152,product-99869,1,51,189,16,7
153,product-8618,1,52,118,78,78
154,product-18513,1,52,3,197,0
155,product-108129,1,52,0,0,218
156,product-148662,1,52,32,164,167
157,product-86769,1,54,125,118,78
158,product-247226,1,54,44,160,43
159,product-280866,1,54,155,49,47
160,product-166636,1,55,60,144,145
161,product-247674,1,55,122,78,78
162,product-63595,1,56,9,190,7
163,product-128162,1,56,152,149,48
164,product-271574,1,56,0,224,0
165,product-31312,1,61,84,111,89
166,product-204145,1,61,0,0,235
167,product-111039,1,62,107,92,93
168,product-178295,1,63,46,157,41
169,product-3743,1,65,214,0,0
170,product-104908,1,69,133,64,141
171,product-93877,1,71,89,92,111
172,product-241621,1,75,50,147,149
173,product-294448,1,75,96,109,91
174,product-6766,1,76,189,189,7
175,product-176577,1,76,117,86,87
176,product-197306,1,76,226,0,0
177,product-209616,1,77,163,160,39
178,product-255517,1,80,148,47,153
179,product-226317,1,81,146,146,55
180,product-87328,1,82,57,56,139
181,product-195162,1,82,78,121,122
182,product-224359,1,82,0,212,0
183,product-290568,1,82,8,194,190
184,product-296743,1,82,190,193,6
185,product-254683,1,83,236,0,0
186,product-287407,1,84,32,34,165
187,product-9785,1,85,15,184,17
188,product-86434,1,85,192,4,6
189,product-97411,1,85,147,144,53
190,product-206229,1,86,52,145,146
191,product-129723,1,88,27,177,18
192,product-205992,1,88,132,71,71
193,product-69760,1,89,39,157,162
194,product-146381,1,89,33,170,27
195,product-251095,1,89,115,113,88
196,product-268546,1,90,120,126,77
197,product-100250,1,91,93,108,96
198,product-82334,1,92,40,162,36
199,product-114108,1,92,148,152,52
200,product-171096,1,92,0,0,245
201,product-215738,1,93,40,160,160
