id,label,ts_in,ts_out,attr_1,attr_2
1,customer-4617,0,77,0,204
2,customer-4051,0,118,100,98
3,customer-3020,0,142,85,119
4,customer-3622,1,7,206,0
5,customer-4782,1,38,72,124
6,customer-2652,2,41,114,89
7,customer-1850,3,14,145,55
8,customer-642,3,36,179,25
9,customer-3130,3,40,81,118
10,customer-1060,4,50,151,50
11,customer-2906,4,72,88,117
12,customer-1897,4,74,136,65
13,customer-1687,4,82,138,62
14,customer-2145,5,5,101,104
15,customer-4993,5,19,160,41
16,customer-1612,5,45,120,85
17,customer-4930,5,71,116,86
18,customer-2564,5,74,192,4
19,customer-540,5,76,51,146
20,customer-2511,5,82,239,0
21,customer-3497,5,96,168,37
22,customer-945,6,33,71,128
23,customer-96,6,47,38,166
24,customer-4631,6,48,219,0
25,customer-477,6,52,25,175
26,customer-3542,6,59,171,28
27,customer-4041,6,83,39,160
28,customer-4907,7,28,0,244
29,customer-4271,7,43,100,99
30,customer-4611,7,62,205,0
31,customer-4944,7,86,74,127
32,customer-4426,7,92,141,55
33,customer-3676,7,96,115,82
34,customer-3878,8,88,101,95
35,customer-257,8,99,152,52
36,customer-453,8,103,169,32
37,customer-3553,9,19,95,108
38,customer-2193,9,38,93,102
39,customer-1233,9,40,43,154
40,customer-3242,9,43,213,0
41,customer-673,9,53,83,112
42,customer-815,9,63,2,203
43,customer-2976,9,80,18,179
44,customer-219,9,83,0,228
45,customer-2230,9,105,89,116
46,customer-3215,10,47,38,164
47,customer-597,10,63,136,64
48,customer-3609,10,65,71,133
49,customer-4984,10,82,0,197
50,customer-4089,10,83,0,226
51,customer-315,10,106,147,51
52,customer-4083,11,25,200,0
53,customer-3618,11,55,174,22
54,customer-4517,11,55,33,162
55,customer-1646,11,66,114,81
56,customer-3873,11,68,131,71
57,customer-491,11,90,71,125
58,customer-2732,11,92,80,125
59,customer-4396,11,99,220,0
60,customer-3877,11,101,22,173
61,customer-987,12,39,132,73
62,customer-202,12,40,43,154
63,customer-1570,12,44,118,82
64,customer-2520,12,48,84,121
65,customer-4893,12,52,175,25
66,customer-78,12,66,113,83
67,customer-40,12,77,109,90
68,customer-3383,12,80,161,38
69,customer-1281,12,103,177,23
70,customer-215,13,16,141,64
71,customer-2596,13,36,54,149
72,customer-3178,13,46,4,201
73,customer-975,13,47,106,94
74,customer-2244,13,47,34,163
75,customer-677,13,55,161,43
76,customer-1486,13,59,129,66
77,customer-808,13,74,107,88
78,customer-165,13,75,273,0
79,customer-1741,13,79,142,63
80,customer-258,13,85,38,161
81,customer-3096,13,94,60,141
82,customer-2328,14,15,159,38
83,customer-402,14,32,0,209
84,customer-161,14,37,3,194
85,customer-3885,14,38,8,194
86,customer-185,14,54,222,0
87,customer-3831,14,56,185,16
88,customer-4817,14,57,16,185
89,customer-2885,14,63,0,205
90,customer-761,14,71,183,12
91,customer-2580,14,72,82,119
92,customer-1953,14,89,164,38
93,customer-3984,14,95,60,135
94,customer-3706,14,106,15,188
95,customer-1033,15,20,30,168
96,customer-3744,15,37,86,110
97,customer-1562,15,53,0,199
98,customer-4310,15,55,92,113
99,customer-1632,15,67,0,255
100,customer-1063,15,70,155,48
101,customer-916,15,71,106,93
102,customer-4067,15,100,79,121
103,customer-606,16,19,168,29
104,customer-1961,16,26,87,113
105,customer-1135,16,31,81,118
106,customer-1240,16,34,141,58
107,customer-3927,16,43,112,87
108,customer-3985,16,62,54,144
109,customer-2435,16,79,23,174
110,customer-1141,16,81,119,82
111,customer-1877,16,112,118,84
112,customer-319,17,25,39,158
113,customer-312,17,26,167,32
114,customer-2319,17,40,162,41
115,customer-2412,17,47,0,216
116,customer-981,17,52,7,191
117,customer-4165,17,56,75,130
118,customer-4446,17,62,76,120
119,customer-718,17,67,95,100
120,customer-3819,17,70,121,79
121,customer-1593,17,75,117,79
122,customer-2679,17,77,62,136
123,customer-1309,17,80,139,63
124,customer-4587,18,30,80,123
125,customer-496,18,32,0,214
126,customer-2443,18,38,76,124
127,customer-3614,18,38,0,241
128,customer-4407,18,74,2,197
129,customer-1517,18,82,55,141
130,customer-1831,18,83,130,70
131,customer-4314,18,84,168,33
132,customer-3786,18,110,70,128
133,customer-176,19,23,128,68
134,customer-3696,19,35,12,188
135,customer-3404,19,48,113,84
136,customer-3029,19,59,38,163
137,customer-1378,19,98,136,64
138,customer-4393,19,101,141,59
139,customer-3137,19,105,87,118
140,customer-3731,19,111,199,0
141,customer-2457,19,114,98,103
142,customer-888,20,20,186,11
143,customer-4308,20,30,157,39
144,customer-79,20,31,257,0
145,customer-1038,20,33,150,48
146,customer-3476,20,43,1,204
147,customer-3564,20,49,128,73
148,customer-1086,20,53,201,0
149,customer-3303,20,56,136,69
150,customer-2442,20,64,115,88
151,customer-1016,20,83,16,180
152,customer-23,20,86,37,164
153,customer-217,20,89,162,37
154,customer-3639,20,89,35,165
155,customer-2717,20,90,163,39
156,customer-2832,20,93,69,136
157,customer-4687,20,97,86,110
158,customer-93,20,99,86,113
159,customer-3311,20,105,4,192
160,customer-406,20,106,4,192
161,customer-3478,21,35,67,130
162,customer-3524,21,35,73,122
163,customer-2859,21,37,73,126
164,customer-2210,21,52,181,19
165,customer-2890,21,53,12,188
166,customer-593,21,58,0,227
167,customer-2905,21,66,187,18
168,customer-1640,21,74,15,183
169,customer-457,21,81,169,31
170,customer-4223,21,84,72,125
171,customer-4916,21,85,221,0
172,customer-1082,21,87,21,181
173,customer-4290,21,91,116,82
