ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology
1,product-72502,0,75,43,34
2,product-254945,0,75,69,25
3,product-314246,0,62,55,0
4,product-104645,0,12,55,3
5,product-169945,0,75,51,20
6,product-78424,0,88,40,45
7,product-66566,0,38,35,2
8,product-139409,0,50,71,21
9,product-37757,0,88,55,34
10,product-221106,0,12,61,17
11,product-78381,0,88,45,11
12,product-11235,0,62,38,2
13,product-55786,0,62,45,3
14,product-104301,0,88,60,32
15,product-205693,0,12,56,9
16,product-31090,0,75,44,14
17,product-221311,0,88,25,0
18,product-37540,0,62,56,37
19,product-331370,0,25,53,14
20,product-205270,0,88,32,9
21,product-189164,0,50,69,6
22,product-67270,0,12,50,28
23,product-236436,0,38,40,0
24,product-204988,0,25,31,10
25,product-361576,0,75,76,63
26,product-312931,0,38,67,0
27,product-390175,0,50,36,2
28,product-139439,0,88,68,26
29,product-128014,0,12,61,30
30,product-142994,0,12,71,38
31,product-114058,0,62,56,14
32,product-114220,0,12,56,15
33,product-207481,0,12,59,21
34,product-105690,0,75,61,15
35,product-123967,0,12,63,0
36,product-88649,0,38,46,16
37,product-127798,0,62,61,32
38,product-359787,0,62,69,0
39,product-56993,0,38,53,11
40,product-41698,0,25,54,0
41,product-296880,0,88,80,46
42,product-65575,0,38,50,44
43,product-42116,0,38,51,22
44,product-41708,0,12,54,14
45,product-360198,0,75,64,17
46,product-220198,0,50,58,28
47,product-206748,0,38,59,24
48,product-123761,0,62,63,3
49,product-142828,0,62,71,38
50,product-104924,0,12,59,43
51,product-104923,0,62,59,44
52,product-104774,0,50,53,24
53,product-314676,0,25,51,12
54,product-78654,0,12,43,22
55,product-206224,0,50,31,35
56,product-206164,0,38,22,0
57,product-56762,0,62,53,10
58,product-42117,0,12,51,24
59,product-277232,0,62,75,23
60,product-10001,0,25,37,17
61,product-122801,0,88,64,0
62,product-258024,0,50,75,0
63,product-129053,0,88,57,0
64,product-122799,0,38,64,3
65,product-203412,0,50,55,12
66,product-300418,0,38,58,2
67,product-300419,0,88,58,3
68,product-122778,0,38,67,29
69,product-122777,0,50,67,27
70,product-42649,0,50,54,21
71,product-122766,0,62,66,6
72,product-11062,0,12,38,0
73,product-36817,0,50,54,0
