ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,product-72502,0,75,43,34,30,15,85
2,product-254945,0,75,69,25,22,2,85
3,product-314246,0,62,55,0,22,2,86
4,product-104645,0,12,55,3,22,75,86
5,product-169945,0,75,51,20,28,18,85
6,product-78424,0,88,40,45,26,8,85
7,product-66566,0,38,35,2,23,5,86
8,product-139409,0,50,71,21,27,69,86
9,product-37757,0,88,55,34,25,61,85
10,product-221106,0,12,61,17,25,40,86
11,product-78381,0,88,45,11,25,19,85
12,product-11235,0,62,38,2,22,9,86
13,product-55786,0,62,45,3,22,41,86
14,product-104301,0,88,60,32,26,64,85
15,product-205693,0,12,56,9,26,30,86
16,product-31090,0,75,44,14,25,32,85
17,product-221311,0,88,25,0,22,8,85
18,product-37540,0,62,56,37,26,60,86
19,product-331370,0,25,53,14,25,5,86
20,product-205270,0,88,32,9,25,8,85
21,product-189164,0,50,69,6,22,48,86
22,product-67270,0,12,50,28,30,38,86
23,product-236436,0,38,40,0,22,26,86
24,product-204988,0,25,31,10,24,8,86
25,product-361576,0,75,76,63,48,17,85
26,product-312931,0,38,67,0,22,61,86
27,product-390175,0,50,36,2,22,11,86
28,product-139439,0,88,68,26,24,86,85
29,product-128014,0,12,61,30,26,47,86
30,product-142994,0,12,71,38,45,61,86
31,product-114058,0,62,56,14,23,34,86
32,product-114220,0,12,56,15,22,40,86
33,product-207481,0,12,59,21,22,47,86
34,product-105690,0,75,61,15,27,69,85
35,product-123967,0,12,63,0,22,77,86
36,product-88649,0,38,46,16,24,31,86
37,product-127798,0,62,61,32,25,46,86
38,product-359787,0,62,69,0,22,17,86
39,product-56993,0,38,53,11,22,57,86
40,product-41698,0,25,54,0,22,59,86
41,product-296880,0,88,80,46,33,36,85
42,product-65575,0,38,50,44,36,36,86
43,product-42116,0,38,51,22,25,41,86
44,product-41708,0,12,54,14,25,55,86
45,product-360198,0,75,64,17,22,8,85
46,product-220198,0,50,58,28,27,26,86
47,product-206748,0,38,59,24,22,46,86
48,product-123761,0,62,63,3,22,77,86
49,product-142828,0,62,71,38,45,61,86
50,product-104924,0,12,59,43,33,63,86
51,product-104923,0,62,59,44,33,64,86
52,product-104774,0,50,53,24,32,45,86
53,product-314676,0,25,51,12,29,12,86
54,product-78654,0,12,43,22,28,15,86
55,product-206224,0,50,31,35,39,12,86
56,product-206164,0,38,22,0,22,14,86
57,product-56762,0,62,53,10,22,58,86
58,product-42117,0,12,51,24,25,41,86
59,product-277232,0,62,75,23,26,13,86
60,product-10001,0,25,37,17,22,7,86
61,product-122801,0,88,64,0,22,57,85
62,product-258024,0,50,75,0,22,39,86
63,product-129053,0,88,57,0,22,40,85
64,product-122799,0,38,64,3,22,58,86
65,product-203412,0,50,55,12,22,18,86
66,product-300418,0,38,58,2,22,43,86
67,product-300419,0,88,58,3,22,43,85
68,product-122778,0,38,67,29,25,67,86
69,product-122777,0,50,67,27,25,67,86
70,product-42649,0,50,54,21,24,56,86
71,product-122766,0,62,66,6,22,72,86
72,product-11062,0,12,38,0,22,16,86
73,product-36817,0,50,54,0,22,68,86
74,product-300738,0,88,60,50,26,31,85
75,product-23569,0,75,66,12,23,65,85
76,product-167040,0,12,59,18,34,18,86
77,product-335185,0,12,67,4,23,20,86
78,product-102172,0,38,53,14,33,40,86
79,product-54105,0,50,43,8,23,27,86
80,product-202873,0,62,58,35,33,39,86
81,product-117981,0,38,56,13,25,28,86
82,product-146425,0,88,68,14,21,65,85
83,product-202799,0,50,55,11,23,17,86
84,product-232869,0,50,63,38,29,28,86
85,product-311014,0,12,66,10,25,37,86
86,product-1219,0,50,76,13,27,38,86
87,product-92794,0,50,55,20,29,46,86
88,product-239668,0,25,63,23,24,29,86
89,product-334542,0,25,73,46,39,15,86
90,product-257756,0,88,36,24,25,20,85
91,product-16180,0,25,44,2,23,38,86
92,product-147277,0,38,72,14,28,87,86
93,product-256791,0,88,35,28,24,17,85
94,product-277055,0,12,61,3,22,18,86
95,product-37268,0,12,57,43,32,76,86
96,product-332826,0,25,53,17,25,6,86
97,product-256793,0,12,35,30,25,16,86
98,product-67649,0,62,48,24,27,33,86
99,product-204296,0,88,55,6,22,18,85
100,product-204208,0,25,58,0,22,33,86
101,product-372414,0,25,75,38,40,27,86
102,product-123023,0,88,64,19,22,53,85
103,product-132460,0,25,60,0,22,53,86
104,product-299321,0,12,53,19,22,27,86
105,product-103327,0,50,47,13,24,31,86
106,product-276625,0,75,61,7,23,26,85
107,product-135807,0,50,68,0,22,83,86
108,product-54700,0,75,52,24,22,57,85
109,product-67681,0,88,43,6,24,18,85
110,product-42456,0,38,54,14,25,57,86
111,product-10072,0,62,37,17,32,9,86
112,product-276397,0,88,71,70,44,26,85
113,product-50518,0,62,52,9,24,53,86
114,product-54495,0,38,52,34,25,52,86
115,product-122987,0,62,66,10,22,71,86
116,product-257529,0,50,75,0,22,39,86
117,product-138889,0,25,69,27,25,78,86
118,product-122552,0,50,67,28,25,67,86
119,product-148441,0,50,70,17,26,62,86
120,product-57303,0,50,53,20,30,56,86
121,product-134021,0,50,68,25,23,83,86
122,product-109408,0,25,65,24,24,82,86
123,product-32611,0,62,43,9,23,28,86
124,product-213631,0,75,52,26,36,15,85
125,product-109361,0,62,56,5,22,75,86
126,product-40549,0,12,54,17,27,52,86
127,product-141637,0,88,67,11,24,75,85
128,product-62825,0,50,46,0,22,50,86
129,product-39804,0,38,53,24,30,47,86
130,product-149931,0,12,59,11,24,14,86
131,product-133927,0,88,58,5,22,48,85
132,product-182710,0,62,46,14,30,33,86
133,product-353617,0,38,67,17,27,16,86
134,product-380669,0,25,58,23,36,37,86
135,product-17546,0,38,47,22,25,43,86
136,product-376806,0,88,66,8,23,62,85
137,product-376805,0,38,66,9,23,62,86
138,product-111483,0,50,51,0,22,27,86
139,product-82842,0,62,46,24,28,24,86
140,product-84986,0,75,52,29,28,38,85
141,product-318656,0,62,49,4,24,9,86
142,product-111511,0,88,58,4,22,72,85
143,product-357026,0,38,64,14,23,4,86
144,product-85067,0,88,41,0,22,9,85
145,product-15553,0,88,42,17,25,24,85
146,product-320407,0,12,61,54,25,4,86
147,product-320424,0,12,49,6,23,8,86
148,product-287956,0,38,72,0,22,20,86
149,product-11989,0,88,38,2,22,13,85
150,product-244591,0,75,63,4,23,33,85
151,product-215302,0,12,61,0,22,51,86
152,product-244589,0,75,63,6,23,34,85
153,product-141288,0,25,72,6,24,66,86
154,product-47573,0,75,48,15,24,33,85
155,product-40176,0,88,50,15,25,40,85
156,product-83429,0,38,45,6,24,23,86
157,product-355026,0,75,74,57,37,12,85
158,product-110374,0,12,57,6,25,75,86
159,product-83970,0,62,45,10,26,25,86
160,product-141378,0,25,72,27,48,58,86
161,product-245256,0,12,63,4,22,26,86
162,product-211858,0,38,51,29,31,16,86
163,product-180368,0,75,24,24,37,11,85
164,product-181381,0,88,23,26,46,15,85
165,product-245284,0,75,67,41,33,17,85
166,product-134093,0,12,58,4,22,48,86
167,product-214228,0,88,56,24,26,28,85
168,product-141495,0,50,67,2,22,78,86
169,product-214223,0,38,56,39,18,25,86
170,product-84271,0,50,42,0,22,13,86
171,product-244046,0,25,67,55,25,15,86
172,product-109788,0,62,63,29,25,74,86
173,product-126540,0,62,66,4,22,71,86
174,product-47430,0,62,53,27,20,59,86
175,product-323321,0,12,62,2,22,14,86
176,product-62267,0,25,36,12,24,5,86
177,product-133858,0,50,68,27,23,82,86
178,product-59467,0,75,39,17,32,16,85
179,product-183286,0,12,66,3,22,47,86
180,product-86645,0,50,42,13,23,12,86
181,product-21145,0,12,46,20,26,38,86
182,product-38808,0,50,54,14,26,50,86
183,product-127459,0,62,69,35,30,64,86
184,product-241620,0,38,50,37,33,28,86
185,product-48998,0,25,55,24,26,60,86
186,product-27443,0,88,43,13,23,29,85
187,product-282344,0,50,47,0,22,27,86
188,product-186712,0,38,54,8,24,16,86
189,product-87389,0,88,44,0,22,23,85
190,product-32333,0,25,52,2,23,61,86
191,product-106683,0,62,64,13,27,76,86
192,product-107586,0,88,56,2,22,77,85
193,product-127680,0,50,69,38,30,64,86
194,product-113881,0,12,55,11,24,29,86
195,product-187101,0,50,54,19,24,16,86
196,product-106333,0,75,57,22,29,59,85
197,product-87974,0,88,52,0,22,69,85
198,product-359557,0,25,63,13,22,9,86
199,product-388603,0,12,31,0,22,15,86
200,product-88080,0,50,54,34,29,46,86
201,product-106020,0,38,55,2,22,74,86
202,product-296041,0,38,59,38,35,38,86
203,product-11406,0,12,35,5,23,7,86
204,product-350577,0,25,71,36,34,7,86
205,product-88403,0,50,47,19,28,31,86
206,product-208090,0,25,24,2,22,5,86
207,product-33594,0,25,40,0,22,19,86
208,product-127431,0,75,55,3,22,17,85
209,product-294778,0,12,45,0,22,12,86
210,product-63474,0,38,53,11,22,62,86
211,product-82498,0,12,52,30,32,34,86
212,product-177077,0,38,69,12,25,59,86
213,product-176863,0,50,57,28,26,19,86
214,product-293553,0,25,53,2,22,32,86
215,product-108334,0,62,51,18,29,33,86
216,product-63744,0,12,43,33,22,18,86
217,product-376353,0,25,76,23,29,25,86
218,product-242682,0,25,68,59,27,17,86
219,product-142036,0,62,71,37,26,85,86
220,product-22010,0,12,55,31,39,69,86
221,product-242628,0,25,63,4,23,33,86
222,product-112492,0,25,58,0,22,65,86
223,product-85817,0,12,45,0,22,27,86
224,product-376232,0,75,71,4,23,21,85
225,product-81978,0,50,36,13,22,4,86
226,product-218310,0,12,61,21,26,42,86
227,product-218311,0,25,61,23,26,42,86
228,product-127295,0,12,68,34,27,81,86
229,product-218320,0,75,60,40,31,38,85
230,product-133694,0,38,68,29,23,82,86
231,product-133693,0,50,68,29,26,83,86
232,product-326818,0,12,62,28,24,18,86
233,product-294535,0,62,44,30,25,15,86
234,product-142214,0,38,71,35,26,85,86
235,product-242235,0,25,63,5,22,33,86
236,product-127239,0,88,69,32,30,64,85
237,product-12989,0,12,47,23,34,42,86
238,product-236700,0,38,62,8,24,19,86
239,product-93870,0,75,39,4,23,19,85
240,product-144344,0,25,68,2,22,74,86
241,product-101357,0,25,58,3,22,62,86
242,product-160032,0,50,56,23,30,24,86
243,product-138004,0,50,71,33,28,71,86
244,product-162576,0,12,49,46,59,19,86
245,product-129479,0,38,62,2,22,60,86
246,product-344364,0,25,68,15,24,3,86
247,product-202371,0,12,31,22,28,10,86
248,product-340005,0,75,68,24,28,12,85
249,product-138001,0,88,71,27,27,70,85
250,product-120086,0,12,60,22,22,39,86
251,product-226817,0,25,62,26,25,38,86
252,product-44757,0,62,55,28,28,54,86
253,product-99991,0,25,44,3,23,25,86
254,product-120629,0,38,59,17,22,36,86
255,product-13665,0,12,41,24,25,22,86
256,product-15095,0,38,51,2,22,73,86
257,product-100386,0,38,58,0,22,59,86
258,product-144665,0,38,68,0,22,75,86
259,product-122323,0,62,67,29,25,67,86
260,product-138229,0,88,71,27,27,70,85
261,product-137767,0,62,71,34,28,71,86
262,product-122348,0,38,64,4,22,57,86
263,product-98485,0,12,50,0,22,43,86
264,product-138232,0,50,71,33,28,71,86
265,product-34963,0,50,48,9,24,39,86
266,product-397356,0,38,39,28,50,29,86
267,product-227443,0,62,48,13,25,15,86
268,product-137926,0,62,62,11,26,28,86
269,product-73991,0,50,46,6,24,25,86
270,product-16653,0,25,45,24,26,33,86
271,product-129908,0,50,68,31,26,83,86
272,product-100831,0,25,63,2,22,75,86
273,product-201781,0,88,76,8,23,61,85
274,product-130697,0,50,51,0,22,9,86
275,product-10803,0,50,32,0,22,12,86
276,product-35723,0,88,42,23,27,16,85
277,product-10895,0,25,41,13,27,23,86
278,product-43155,0,38,55,24,25,57,86
279,product-163336,0,88,55,16,25,28,85
280,product-201884,0,62,54,2,22,28,86
281,product-344415,0,25,64,48,20,10,86
282,product-306219,0,25,48,2,23,20,86
283,product-201238,0,62,55,8,23,29,86
284,product-100623,0,38,58,0,22,60,86
285,product-121420,0,75,55,11,27,21,85
286,product-306265,0,88,63,46,33,26,85
287,product-194079,0,62,30,14,28,12,86
288,product-226456,0,62,65,6,22,24,86
289,product-99905,0,88,58,2,22,59,85
290,product-305785,0,88,62,0,22,9,85
291,product-100622,0,12,58,2,22,60,86
292,product-74877,0,12,38,0,22,7,86
293,product-264963,0,38,66,4,22,30,86
294,product-101111,0,12,58,6,22,62,86
295,product-145919,0,12,70,0,22,88,86
296,product-44540,0,38,56,33,29,60,86
297,product-44971,0,50,55,31,28,55,86
298,product-198821,0,50,54,4,22,21,86
299,product-266055,0,25,66,10,22,29,86
300,product-101316,0,88,62,6,22,76,85
301,product-51296,0,25,46,6,23,37,86
302,product-202486,0,38,55,12,23,18,86
303,product-70309,0,88,40,14,23,7,85
304,product-363588,0,25,66,30,18,8,86
305,product-229534,0,25,63,48,31,30,86
306,product-51721,0,38,46,8,22,38,86
307,product-335543,0,25,58,4,22,35,86
308,product-304459,0,25,63,0,22,8,86
309,product-28866,0,12,42,15,22,28,86
310,product-122356,0,88,64,20,22,53,85
311,product-98792,0,88,44,2,22,26,85
312,product-202557,0,12,58,32,33,40,86
313,product-366661,0,25,78,21,23,14,86
314,product-227254,0,25,62,27,24,38,86
315,product-335750,0,88,66,15,22,18,85
316,product-122406,0,12,55,0,22,34,86
317,product-94506,0,88,52,5,22,46,85
318,product-51218,0,38,54,2,22,64,86
319,product-302393,0,75,56,32,31,26,85
320,product-345510,0,25,60,2,22,12,86
321,product-121755,0,38,59,5,22,40,86
322,product-366979,0,25,78,20,23,14,86
323,product-145351,0,38,68,0,22,82,86
324,product-192619,0,88,56,2,22,20,85
325,product-398967,0,50,29,24,34,14,86
326,product-120979,0,12,64,18,26,58,86
327,product-266839,0,88,68,42,32,8,85
328,product-146248,0,12,68,2,22,72,86
329,product-272290,0,62,74,39,28,13,86
330,product-232501,0,50,63,29,27,24,86
331,product-335471,0,25,67,3,23,20,86
332,product-54052,0,25,52,31,25,51,86
333,product-163626,0,62,55,18,24,26,86
334,product-100146,0,88,58,2,22,59,85
335,product-101651,0,50,53,2,23,49,86
336,product-367044,0,25,65,0,22,21,86
337,product-94994,0,12,49,7,24,37,86
338,product-144195,0,50,70,30,36,65,86
339,product-98915,0,62,56,8,21,61,86
340,product-29379,0,12,43,13,23,33,86
341,product-121567,2,12,59,6,22,40,86
342,product-218271,2,97,57,24,25,27,85
343,product-22022,2,38,53,41,27,64,87
344,product-121712,2,68,67,31,28,67,85
345,product-317176,2,25,66,35,40,13,87
346,product-63810,2,88,55,8,24,55,85
347,product-316139,2,92,63,27,29,9,85
348,product-124395,2,80,68,30,25,83,85
349,product-71156,2,75,53,31,23,69,85
350,product-316146,2,5,48,4,23,12,86
351,product-317197,2,95,63,28,30,8,85
352,product-218272,2,88,57,22,25,27,85
353,product-64329,2,25,38,23,26,6,87
354,product-63754,2,38,42,39,20,14,87
355,product-63610,2,88,54,29,24,60,85
356,product-71469,2,78,44,9,26,16,85
357,product-217910,2,9,61,26,26,42,86
358,product-21997,2,62,48,0,22,75,85
359,product-63643,2,75,58,54,36,83,85
360,product-121525,2,62,67,30,28,66,85
361,product-227736,2,68,63,44,30,31,85
362,product-316104,2,16,57,6,23,10,87
363,product-316138,2,45,63,25,29,9,86
364,product-22009,2,66,55,29,39,69,85
