ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
1,customer-269312,0,14,5,21,22,17,82,82,53
2,customer-269834,0,14,9,23,22,17,85,81,48
3,customer-271945,0,15,24,29,22,19,96,80,32
4,customer-269826,0,15,9,20,22,21,86,83,50
5,customer-270360,0,15,16,20,22,18,90,83,45
6,customer-270349,0,15,4,33,22,22,76,74,49
7,customer-272471,0,16,33,33,22,19,99,85,32
8,customer-274518,0,16,6,18,22,21,83,85,54
9,customer-273498,0,16,93,23,22,20,73,86,68
10,customer-269209,0,16,23,12,22,9,91,89,50
11,customer-270253,0,16,3,14,22,9,83,87,58
12,customer-272519,0,17,18,35,22,7,92,73,28
13,customer-272884,0,17,71,15,22,7,78,97,74
14,customer-271931,0,17,89,32,22,24,63,84,76
15,customer-273405,0,17,62,3,22,10,85,95,64
16,customer-273389,0,17,84,26,22,6,67,90,79
17,customer-268802,0,17,16,45,22,6,89,64,20
18,customer-268786,0,17,18,27,22,11,93,79,36
19,customer-270267,0,17,17,8,22,12,88,90,55
20,customer-272518,0,18,26,35,22,7,98,78,26
21,customer-272517,0,18,30,35,22,7,99,82,28
22,customer-273995,0,18,23,30,22,22,96,79,31
23,customer-273919,0,18,84,14,22,10,77,93,71
24,customer-273905,0,18,90,32,22,6,64,84,74
25,customer-274430,0,18,86,21,22,9,71,91,74
26,customer-274429,0,18,12,11,22,9,87,89,54
27,customer-274412,0,18,95,36,22,6,64,78,66
28,customer-274411,0,18,98,27,22,6,73,81,61
29,customer-273406,0,18,79,27,22,10,66,94,82
30,customer-269850,0,18,10,26,22,12,85,79,44
31,customer-278320,0,18,14,5,22,19,87,91,58
32,customer-272516,0,19,30,36,22,7,99,80,26
33,customer-272329,0,19,18,30,22,21,92,77,33
34,customer-273030,0,19,20,35,22,8,94,74,27
35,customer-270747,0,19,62,5,22,22,85,95,64
36,customer-270376,0,19,2,35,22,12,73,74,53
37,customer-270375,0,19,17,14,22,13,90,87,50
38,customer-278224,0,19,10,20,22,6,86,83,49
39,customer-278771,0,19,14,14,22,6,88,87,52
40,customer-277669,0,19,30,9,22,6,91,91,53
41,customer-271782,0,20,7,12,22,10,85,88,57
42,customer-273884,0,20,2,33,22,21,74,75,53
43,customer-269677,0,20,14,8,22,11,87,90,56
44,customer-269150,0,20,4,12,22,12,84,88,58
45,customer-270910,0,20,9,17,22,13,86,85,52
46,customer-270733,0,20,92,17,22,11,76,89,68
47,customer-271261,0,20,93,20,22,10,75,88,67
48,customer-270195,0,20,93,15,22,11,78,89,66
49,customer-277765,0,20,5,9,22,18,85,89,59
50,customer-272831,0,21,31,20,22,8,95,89,44
51,customer-272836,0,21,90,30,22,9,66,85,74
52,customer-271784,0,21,91,26,22,10,69,86,71
53,customer-272311,0,21,90,27,22,9,67,85,73
54,customer-272309,0,21,18,11,22,9,89,89,53
55,customer-274028,0,21,16,14,22,15,89,87,50
56,customer-273853,0,21,9,11,22,7,86,89,56
57,customer-274539,0,21,91,5,22,16,84,93,63
58,customer-273859,0,22,94,24,22,8,72,85,67
59,customer-274356,0,22,94,26,22,8,71,85,68
60,customer-274350,0,22,98,15,22,7,80,88,62
61,customer-273340,0,22,89,30,22,8,65,85,74
62,customer-273339,0,22,94,26,22,9,71,84,67
63,customer-269648,0,22,93,17,22,2,77,89,67
64,customer-269122,0,22,94,12,22,2,80,90,65
