ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology
1,customer-262166,0,9,8,17,22
2,customer-260761,0,9,28,39,22
3,customer-261691,0,9,4,18,22
4,customer-261690,0,9,28,33,22
5,customer-262636,0,10,28,33,22
6,customer-263585,0,10,0,23,22
7,customer-260747,0,10,92,27,22
8,customer-262148,0,11,89,33,22
9,customer-262147,0,11,98,15,22
10,customer-263571,0,11,92,30,22
11,customer-263093,0,12,86,32,22
12,customer-260670,0,13,6,29,22
13,customer-260240,0,13,96,14,22
14,customer-260239,0,13,28,18,22
15,customer-267165,0,13,95,17,22
16,customer-269312,0,14,5,21,22
17,customer-269834,0,14,9,23,22
18,customer-262564,0,14,15,23,22
19,customer-262080,0,14,9,11,22
20,customer-262085,0,14,5,9,22
21,customer-260660,0,14,2,30,22
22,customer-260689,0,14,3,8,22
23,customer-260690,0,14,90,23,22
24,customer-260691,0,14,90,29,22
25,customer-260692,0,14,92,23,22
26,customer-260220,0,14,9,23,22
27,customer-260212,0,14,92,39,22
28,customer-260211,0,14,95,17,22
29,customer-261616,0,14,28,18,22
30,customer-261138,0,14,18,12,22
31,customer-267207,0,14,10,38,22
32,customer-267206,0,14,13,38,22
33,customer-267187,0,14,16,30,22
34,customer-271945,0,15,24,29,22
35,customer-269826,0,15,9,20,22
36,customer-270360,0,15,16,20,22
37,customer-270349,0,15,4,33,22
38,customer-262092,0,15,98,23,22
39,customer-263033,0,15,3,20,22
40,customer-260661,0,15,92,38,22
41,customer-260653,0,15,91,33,22
42,customer-260207,0,15,44,12,22
43,customer-260206,0,15,96,18,22
44,customer-260205,0,15,99,8,22
45,customer-261621,0,15,1,18,22
46,customer-261622,0,15,97,17,22
47,customer-261114,0,15,14,5,22
48,customer-261113,0,15,51,27,22
49,customer-261153,0,15,95,24,22
50,customer-261154,0,15,97,18,22
51,customer-261112,0,15,51,20,22
52,customer-261111,0,15,1,23,22
53,customer-272471,0,16,33,33,22
54,customer-274518,0,16,6,18,22
55,customer-273498,0,16,93,23,22
56,customer-269209,0,16,23,12,22
57,customer-270253,0,16,3,14,22
58,customer-262576,0,16,99,23,22
59,customer-262532,0,16,57,35,22
60,customer-260701,0,16,98,24,22
61,customer-260640,0,16,92,26,22
62,customer-260639,0,16,19,5,22
63,customer-260250,0,16,90,24,22
64,customer-272519,0,17,18,35,22
65,customer-272884,0,17,71,15,22
66,customer-271931,0,17,89,32,22
67,customer-273405,0,17,62,3,22
68,customer-273389,0,17,84,26,22
69,customer-268802,0,17,16,45,22
70,customer-268786,0,17,18,27,22
71,customer-270267,0,17,17,8,22
72,customer-275596,0,17,95,27,22
73,customer-275595,0,17,30,21,22
74,customer-263518,0,17,4,26,22
75,customer-264016,0,17,96,27,22
76,customer-264015,0,17,6,30,22
77,customer-263967,0,17,85,20,22
78,customer-260638,0,17,44,38,22
79,customer-260636,0,17,13,12,22
80,customer-261630,0,17,93,30,22
81,customer-261629,0,17,3,33,22
82,customer-261084,0,17,38,8,22
83,customer-261161,0,17,2,29,22
84,customer-272518,0,18,26,35,22
85,customer-272517,0,18,30,35,22
86,customer-273995,0,18,23,30,22
87,customer-273919,0,18,84,14,22
88,customer-273905,0,18,90,32,22
89,customer-274430,0,18,86,21,22
90,customer-274429,0,18,12,11,22
91,customer-274412,0,18,95,36,22
92,customer-274411,0,18,98,27,22
93,customer-273406,0,18,79,27,22
94,customer-269850,0,18,10,26,22
95,customer-278320,0,18,14,5,22
96,customer-275499,0,18,6,12,22
97,customer-275481,0,18,7,9,22
98,customer-274954,0,18,98,15,22
99,customer-274953,0,18,19,9,22
100,customer-274952,0,18,38,12,22
101,customer-274936,0,18,99,24,22
102,customer-274935,0,18,22,14,22
103,customer-276050,0,18,96,17,22
104,customer-276147,0,18,12,11,22
105,customer-262583,0,18,3,35,22
106,customer-262531,0,18,24,30,22
107,customer-262044,0,18,16,20,22
108,customer-262042,0,18,8,12,22
109,customer-262041,0,18,1,18,22
110,customer-262099,0,18,99,32,22
111,customer-263443,0,18,2,5,22
112,customer-263468,0,18,60,12,22
113,customer-263475,0,18,63,21,22
114,customer-263474,0,18,18,38,22
115,customer-263932,0,18,24,18,22
116,customer-263966,0,18,9,21,22
117,customer-262990,0,18,84,6,22
118,customer-261578,0,18,44,20,22
119,customer-267044,0,18,43,48,22
120,customer-267043,0,18,24,35,22
121,customer-272516,0,19,30,36,22
122,customer-272329,0,19,18,30,22
123,customer-273030,0,19,20,35,22
124,customer-270747,0,19,62,5,22
125,customer-270376,0,19,2,35,22
126,customer-270375,0,19,17,14,22
127,customer-278224,0,19,10,20,22
128,customer-278771,0,19,14,14,22
129,customer-277669,0,19,30,9,22
130,customer-279716,0,19,9,9,22
131,customer-275038,0,19,33,26,22
132,customer-276682,0,19,26,11,22
133,customer-276134,0,19,29,17,22
134,customer-276581,0,19,1,17,22
135,customer-276580,0,19,23,33,22
136,customer-276599,0,19,95,17,22
137,customer-276598,0,19,27,14,22
138,customer-263442,0,19,45,26,22
139,customer-263441,0,19,48,5,22
140,customer-263525,0,19,1,32,22
141,customer-263049,0,19,96,29,22
142,customer-263048,0,19,6,38,22
143,customer-260718,0,19,98,29,22
144,customer-260265,0,19,81,18,22
145,customer-271782,0,20,7,12,22
146,customer-273884,0,20,2,33,22
147,customer-269677,0,20,14,8,22
148,customer-269150,0,20,4,12,22
149,customer-270910,0,20,9,17,22
150,customer-270733,0,20,92,17,22
151,customer-271261,0,20,93,20,22
152,customer-270195,0,20,93,15,22
153,customer-277765,0,20,5,9,22
154,customer-280170,0,20,29,17,22
155,customer-280171,0,20,86,26,22
156,customer-280179,0,20,17,33,22
157,customer-280180,0,20,6,20,22
158,customer-280181,0,20,85,26,22
159,customer-280628,0,20,91,30,22
160,customer-280626,0,20,16,29,22
161,customer-275583,0,20,32,38,22
162,customer-276563,0,20,58,11,22
163,customer-276562,0,20,6,26,22
164,customer-276681,0,20,35,29,22
165,customer-262496,0,20,18,5,22
166,customer-262490,0,20,24,5,22
167,customer-262489,0,20,37,9,22
168,customer-262013,0,20,41,18,22
169,customer-262014,0,20,39,15,22
170,customer-262015,0,20,49,9,22
171,customer-262954,0,20,4,11,22
172,customer-262964,0,20,60,21,22
173,customer-262963,0,20,12,14,22
174,customer-272831,0,21,31,20,22
175,customer-272836,0,21,90,30,22
176,customer-271784,0,21,91,26,22
177,customer-272311,0,21,90,27,22
178,customer-272309,0,21,18,11,22
179,customer-274028,0,21,16,14,22
180,customer-273853,0,21,9,11,22
181,customer-274539,0,21,91,5,22
182,customer-279218,0,21,26,36,22
183,customer-280155,0,21,10,26,22
184,customer-280705,0,21,98,8,22
185,customer-280630,0,21,81,17,22
186,customer-280629,0,21,87,29,22
187,customer-280611,0,21,63,32,22
188,customer-279326,0,21,16,15,22
189,customer-263428,0,21,0,18,22
190,customer-263427,0,21,27,18,22
191,customer-263915,0,21,31,11,22
192,customer-260719,0,21,81,23,22
193,customer-261183,0,21,84,26,22
194,customer-261200,0,21,7,9,22
