ID,Label,Horizontal_Distance_To_Hydrology,Elevation,Aspect,Slope,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am
1,customer-262166,0,9,8,17,22,5,85
2,customer-260761,0,9,28,39,22,4,99
3,customer-261691,0,9,4,18,22,5,82
4,customer-261690,0,9,28,33,22,5,99
5,customer-262636,0,10,28,33,22,5,98
6,customer-263585,0,10,0,23,22,6,77
7,customer-260747,0,10,92,27,22,9,69
8,customer-262148,0,11,89,33,22,11,62
9,customer-262147,0,11,98,15,22,11,80
10,customer-263571,0,11,92,30,22,12,67
11,customer-263093,0,12,86,32,22,11,62
12,customer-260670,0,13,6,29,22,15,81
13,customer-260240,0,13,96,14,22,17,80
14,customer-260239,0,13,28,18,22,17,94
15,customer-267165,0,13,95,17,22,16,78
16,customer-269312,0,14,5,21,22,17,82
17,customer-269834,0,14,9,23,22,17,85
18,customer-262564,0,14,15,23,22,13,89
19,customer-262080,0,14,9,11,22,13,86
20,customer-262085,0,14,5,9,22,19,85
21,customer-260660,0,14,2,30,22,19,75
22,customer-260689,0,14,3,8,22,18,85
23,customer-260690,0,14,90,23,22,18,71
24,customer-260691,0,14,90,29,22,17,67
25,customer-260692,0,14,92,23,22,17,72
26,customer-260220,0,14,9,23,22,16,85
27,customer-260212,0,14,92,39,22,18,59
28,customer-260211,0,14,95,17,22,19,78
29,customer-261616,0,14,28,18,22,19,94
30,customer-261138,0,14,18,12,22,14,90
31,customer-267207,0,14,10,38,22,5,82
32,customer-267206,0,14,13,38,22,5,86
33,customer-267187,0,14,16,30,22,9,90
34,customer-271945,0,15,24,29,22,19,96
35,customer-269826,0,15,9,20,22,21,86
36,customer-270360,0,15,16,20,22,18,90
37,customer-270349,0,15,4,33,22,22,76
38,customer-262092,0,15,98,23,22,18,76
39,customer-263033,0,15,3,20,22,20,81
40,customer-260661,0,15,92,38,22,18,59
41,customer-260653,0,15,91,33,22,16,63
42,customer-260207,0,15,44,12,22,16,90
43,customer-260206,0,15,96,18,22,15,78
44,customer-260205,0,15,99,8,22,15,83
45,customer-261621,0,15,1,18,22,18,80
46,customer-261622,0,15,97,17,22,18,78
47,customer-261114,0,15,14,5,22,18,87
48,customer-261113,0,15,51,27,22,18,87
49,customer-261153,0,15,95,24,22,18,73
50,customer-261154,0,15,97,18,22,17,78
51,customer-261112,0,15,51,20,22,18,88
52,customer-261111,0,15,1,23,22,17,79
53,customer-272471,0,16,33,33,22,19,99
54,customer-274518,0,16,6,18,22,21,83
55,customer-273498,0,16,93,23,22,20,73
56,customer-269209,0,16,23,12,22,9,91
57,customer-270253,0,16,3,14,22,9,83
58,customer-262576,0,16,99,23,22,19,76
59,customer-262532,0,16,57,35,22,18,79
60,customer-260701,0,16,98,24,22,16,75
61,customer-260640,0,16,92,26,22,15,70
62,customer-260639,0,16,19,5,22,14,88
63,customer-260250,0,16,90,24,22,16,70
64,customer-272519,0,17,18,35,22,7,92
65,customer-272884,0,17,71,15,22,7,78
66,customer-271931,0,17,89,32,22,24,63
67,customer-273405,0,17,62,3,22,10,85
68,customer-273389,0,17,84,26,22,6,67
69,customer-268802,0,17,16,45,22,6,89
70,customer-268786,0,17,18,27,22,11,93
71,customer-270267,0,17,17,8,22,12,88
72,customer-275596,0,17,95,27,22,20,70
73,customer-275595,0,17,30,21,22,20,96
74,customer-263518,0,17,4,26,22,19,80
75,customer-264016,0,17,96,27,22,20,72
76,customer-264015,0,17,6,30,22,20,80
77,customer-263967,0,17,85,20,22,19,72
78,customer-260638,0,17,44,38,22,13,93
79,customer-260636,0,17,13,12,22,11,88
80,customer-261630,0,17,93,30,22,17,68
81,customer-261629,0,17,3,33,22,17,76
82,customer-261084,0,17,38,8,22,11,89
83,customer-261161,0,17,2,29,22,17,76
84,customer-272518,0,18,26,35,22,7,98
85,customer-272517,0,18,30,35,22,7,99
86,customer-273995,0,18,23,30,22,22,96
87,customer-273919,0,18,84,14,22,10,77
88,customer-273905,0,18,90,32,22,6,64
89,customer-274430,0,18,86,21,22,9,71
90,customer-274429,0,18,12,11,22,9,87
91,customer-274412,0,18,95,36,22,6,64
92,customer-274411,0,18,98,27,22,6,73
93,customer-273406,0,18,79,27,22,10,66
94,customer-269850,0,18,10,26,22,12,85
95,customer-278320,0,18,14,5,22,19,87
96,customer-275499,0,18,6,12,22,8,85
97,customer-275481,0,18,7,9,22,6,85
98,customer-274954,0,18,98,15,22,9,80
99,customer-274953,0,18,19,9,22,8,89
100,customer-274952,0,18,38,12,22,8,92
101,customer-274936,0,18,99,24,22,6,76
102,customer-274935,0,18,22,14,22,6,91
103,customer-276050,0,18,96,17,22,7,78
104,customer-276147,0,18,12,11,22,20,87
105,customer-262583,0,18,3,35,22,18,74
106,customer-262531,0,18,24,30,22,16,96
107,customer-262044,0,18,16,20,22,16,90
108,customer-262042,0,18,8,12,22,16,86
109,customer-262041,0,18,1,18,22,16,80
110,customer-262099,0,18,99,32,22,17,72
111,customer-263443,0,18,2,5,22,11,85
112,customer-263468,0,18,60,12,22,17,83
113,customer-263475,0,18,63,21,22,17,79
114,customer-263474,0,18,18,38,22,17,92
115,customer-263932,0,18,24,18,22,11,94
116,customer-263966,0,18,9,21,22,18,85
117,customer-262990,0,18,84,6,22,17,81
118,customer-261578,0,18,44,20,22,16,92
119,customer-267044,0,18,43,48,22,21,94
120,customer-267043,0,18,24,35,22,20,97
121,customer-272516,0,19,30,36,22,7,99
122,customer-272329,0,19,18,30,22,21,92
123,customer-273030,0,19,20,35,22,8,94
124,customer-270747,0,19,62,5,22,22,85
125,customer-270376,0,19,2,35,22,12,73
126,customer-270375,0,19,17,14,22,13,90
127,customer-278224,0,19,10,20,22,6,86
128,customer-278771,0,19,14,14,22,6,88
129,customer-277669,0,19,30,9,22,6,91
130,customer-279716,0,19,9,9,22,6,86
131,customer-275038,0,19,33,26,22,21,97
132,customer-276682,0,19,26,11,22,19,91
133,customer-276134,0,19,29,17,22,20,94
134,customer-276581,0,19,1,17,22,6,81
135,customer-276580,0,19,23,33,22,7,96
136,customer-276599,0,19,95,17,22,6,78
137,customer-276598,0,19,27,14,22,6,93
138,customer-263442,0,19,45,26,22,10,92
139,customer-263441,0,19,48,5,22,8,87
140,customer-263525,0,19,1,32,22,19,74
141,customer-263049,0,19,96,29,22,18,71
142,customer-263048,0,19,6,38,22,18,77
143,customer-260718,0,19,98,29,22,16,73
144,customer-260265,0,19,81,18,22,16,74
145,customer-271782,0,20,7,12,22,10,85
146,customer-273884,0,20,2,33,22,21,74
147,customer-269677,0,20,14,8,22,11,87
148,customer-269150,0,20,4,12,22,12,84
149,customer-270910,0,20,9,17,22,13,86
150,customer-270733,0,20,92,17,22,11,76
151,customer-271261,0,20,93,20,22,10,75
152,customer-270195,0,20,93,15,22,11,78
153,customer-277765,0,20,5,9,22,18,85
154,customer-280170,0,20,29,17,22,5,94
155,customer-280171,0,20,86,26,22,5,67
156,customer-280179,0,20,17,33,22,6,91
157,customer-280180,0,20,6,20,22,6,83
158,customer-280181,0,20,85,26,22,7,67
159,customer-280628,0,20,91,30,22,7,66
160,customer-280626,0,20,16,29,22,6,90
161,customer-275583,0,20,32,38,22,20,100
162,customer-276563,0,20,58,11,22,24,85
163,customer-276562,0,20,6,26,22,22,82
164,customer-276681,0,20,35,29,22,19,98
165,customer-262496,0,20,18,5,22,6,87
166,customer-262490,0,20,24,5,22,4,88
167,customer-262489,0,20,37,9,22,4,91
168,customer-262013,0,20,41,18,22,4,93
169,customer-262014,0,20,39,15,22,4,93
170,customer-262015,0,20,49,9,22,5,88
171,customer-262954,0,20,4,11,22,4,84
172,customer-262964,0,20,60,21,22,8,80
173,customer-262963,0,20,12,14,22,7,88
174,customer-272831,0,21,31,20,22,8,95
175,customer-272836,0,21,90,30,22,9,66
176,customer-271784,0,21,91,26,22,10,69
177,customer-272311,0,21,90,27,22,9,67
178,customer-272309,0,21,18,11,22,9,89
179,customer-274028,0,21,16,14,22,15,89
180,customer-273853,0,21,9,11,22,7,86
