ID,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
1,product-104645,0,12,55,3,22,75,86,93,61
2,product-221106,0,12,61,17,25,40,86,93,61
3,product-205693,0,12,56,9,26,30,86,93,61
4,product-67270,0,12,50,28,30,38,86,93,61
5,product-128014,0,12,61,30,26,47,86,93,61
6,product-142994,0,12,71,38,45,61,86,93,61
7,product-114220,0,12,56,15,22,40,86,93,61
8,product-207481,0,12,59,21,22,47,86,93,61
9,product-123967,0,12,63,0,22,77,86,93,61
10,product-41708,0,12,54,14,25,55,86,93,61
11,product-104924,0,12,59,43,33,63,86,93,61
12,product-78654,0,12,43,22,28,15,86,93,61
13,product-42117,0,12,51,24,25,41,86,93,61
14,product-11062,0,12,38,0,22,16,86,93,61
15,product-167040,0,12,59,18,34,18,86,93,61
16,product-335185,0,12,67,4,23,20,86,93,61
17,product-311014,0,12,66,10,25,37,86,93,61
18,product-277055,0,12,61,3,22,18,86,93,61
19,product-37268,0,12,57,43,32,76,86,93,61
20,product-256793,0,12,35,30,25,16,86,93,61
21,product-299321,0,12,53,19,22,27,86,93,61
22,product-40549,0,12,54,17,27,52,86,93,61
23,product-149931,0,12,59,11,24,14,86,93,61
24,product-320407,0,12,61,54,25,4,86,93,61
25,product-320424,0,12,49,6,23,8,86,93,61
26,product-215302,0,12,61,0,22,51,86,93,61
27,product-110374,0,12,57,6,25,75,86,93,61
28,product-245256,0,12,63,4,22,26,86,93,61
29,product-134093,0,12,58,4,22,48,86,93,61
30,product-323321,0,12,62,2,22,14,86,93,61
31,product-183286,0,12,66,3,22,47,86,93,61
32,product-21145,0,12,46,20,26,38,86,93,61
33,product-113881,0,12,55,11,24,29,86,93,61
34,product-388603,0,12,31,0,22,15,86,93,61
35,product-11406,0,12,35,5,23,7,86,93,61
36,product-294778,0,12,45,0,22,12,86,93,61
37,product-82498,0,12,52,30,32,34,86,93,61
38,product-63744,0,12,43,33,22,18,86,93,61
39,product-22010,0,12,55,31,39,69,86,93,61
40,product-85817,0,12,45,0,22,27,86,93,61
41,product-218310,0,12,61,21,26,42,86,93,61
42,product-127295,0,12,68,34,27,81,86,93,61
43,product-326818,0,12,62,28,24,18,86,93,61
44,product-12989,0,12,47,23,34,42,86,93,61
45,product-162576,0,12,49,46,59,19,86,93,61
46,product-202371,0,12,31,22,28,10,86,93,61
47,product-120086,0,12,60,22,22,39,86,93,61
48,product-13665,0,12,41,24,25,22,86,93,61
49,product-98485,0,12,50,0,22,43,86,93,61
50,product-100622,0,12,58,2,22,60,86,93,61
51,product-74877,0,12,38,0,22,7,86,93,61
52,product-101111,0,12,58,6,22,62,86,93,61
53,product-145919,0,12,70,0,22,88,86,93,61
54,product-28866,0,12,42,15,22,28,86,93,61
55,product-202557,0,12,58,32,33,40,86,93,61
56,product-122406,0,12,55,0,22,34,86,93,61
57,product-120979,0,12,64,18,26,58,86,93,61
58,product-146248,0,12,68,2,22,72,86,93,61
59,product-94994,0,12,49,7,24,37,86,93,61
60,product-29379,0,12,43,13,23,33,86,93,61
61,product-331370,0,25,53,14,25,5,86,93,61
62,product-204988,0,25,31,10,24,8,86,93,61
63,product-41698,0,25,54,0,22,59,86,93,61
64,product-314676,0,25,51,12,29,12,86,93,61
65,product-10001,0,25,37,17,22,7,86,93,61
66,product-239668,0,25,63,23,24,29,86,93,61
67,product-334542,0,25,73,46,39,15,86,93,61
68,product-16180,0,25,44,2,23,38,86,93,61
69,product-332826,0,25,53,17,25,6,86,93,61
70,product-204208,0,25,58,0,22,33,86,93,61
71,product-372414,0,25,75,38,40,27,86,93,61
72,product-132460,0,25,60,0,22,53,86,93,61
73,product-138889,0,25,69,27,25,78,86,93,61
74,product-109408,0,25,65,24,24,82,86,93,61
75,product-380669,0,25,58,23,36,37,86,93,61
76,product-141288,0,25,72,6,24,66,86,93,61
77,product-141378,0,25,72,27,48,58,86,93,61
78,product-244046,0,25,67,55,25,15,86,93,61
79,product-62267,0,25,36,12,24,5,86,93,61
80,product-48998,0,25,55,24,26,60,86,93,61
81,product-32333,0,25,52,2,23,61,86,93,61
82,product-359557,0,25,63,13,22,9,86,93,61
83,product-350577,0,25,71,36,34,7,86,93,61
84,product-208090,0,25,24,2,22,5,86,93,61
85,product-33594,0,25,40,0,22,19,86,93,61
86,product-293553,0,25,53,2,22,32,86,93,61
87,product-376353,0,25,76,23,29,25,86,93,61
88,product-242682,0,25,68,59,27,17,86,93,61
89,product-242628,0,25,63,4,23,33,86,93,61
90,product-112492,0,25,58,0,22,65,86,93,61
91,product-218311,0,25,61,23,26,42,86,93,61
92,product-242235,0,25,63,5,22,33,86,93,61
93,product-144344,0,25,68,2,22,74,86,93,61
94,product-101357,0,25,58,3,22,62,86,93,61
95,product-344364,0,25,68,15,24,3,86,93,61
96,product-226817,0,25,62,26,25,38,86,93,61
97,product-99991,0,25,44,3,23,25,86,93,61
98,product-16653,0,25,45,24,26,33,86,93,61
99,product-100831,0,25,63,2,22,75,86,93,61
100,product-10895,0,25,41,13,27,23,86,93,61
101,product-344415,0,25,64,48,20,10,86,93,61
102,product-306219,0,25,48,2,23,20,86,93,61
103,product-266055,0,25,66,10,22,29,86,93,61
104,product-51296,0,25,46,6,23,37,86,93,61
105,product-363588,0,25,66,30,18,8,86,93,61
106,product-229534,0,25,63,48,31,30,86,93,61
107,product-335543,0,25,58,4,22,35,86,93,61
108,product-304459,0,25,63,0,22,8,86,93,61
109,product-366661,0,25,78,21,23,14,86,93,61
110,product-227254,0,25,62,27,24,38,86,93,61
111,product-345510,0,25,60,2,22,12,86,93,61
112,product-366979,0,25,78,20,23,14,86,93,61
113,product-335471,0,25,67,3,23,20,86,93,61
114,product-54052,0,25,52,31,25,51,86,93,61
115,product-367044,0,25,65,0,22,21,86,93,61
