id,label,ts_in,ts_out
1,product-1,137,155,15,239,48
2,product-2,138,145,31,142,115
3,product-3,166,173,45,95,152
4,product-4,110,140,37,203,65
5,product-5,208,264,70,61,169
6,product-6,133,198,180,99,114
7,product-7,190,206,105,128,114
8,product-8,201,212,156,88,142
9,product-9,206,224,51,169,114
10,product-10,149,224,45,92,101
11,product-11,111,159,114,132,147
12,product-12,13,49,127,148,129
13,product-13,88,136,175,126,134
14,product-14,178,232,118,87,125
15,product-15,42,67,60,220,67
16,product-16,140,225,63,50,127
17,product-17,96,115,43,91,163
18,product-18,206,255,195,36,38
19,product-19,190,254,126,76,96
20,product-20,163,168,41,112,129
21,product-21,57,110,235,181,103
22,product-22,127,129,165,71,33
23,product-23,210,281,56,95,97
24,product-24,32,45,82,164,126
25,product-25,208,280,154,147,50
26,product-26,75,100,14,97,132
27,product-27,68,154,70,181,97
28,product-28,29,60,188,129,40
29,product-29,186,196,149,34,144
30,product-30,131,216,128,74,198
31,product-31,38,123,129,79,120
32,product-32,113,140,180,189,246
33,product-33,189,241,40,117,108
34,product-34,120,123,205,184,78
35,product-35,116,154,164,181,28
36,product-36,36,112,103,163,214
37,product-37,62,123,132,57,124
38,product-38,107,134,25,153,225
39,product-39,36,95,227,155,154
40,product-40,34,84,23,109,131
41,product-41,45,91,28,257,144
42,product-42,114,147,56,73,172
43,product-43,70,77,101,99,137
44,product-44,169,215,45,148,162
45,product-45,117,124,200,153,116
46,product-46,152,203,177,146,106
47,product-47,83,83,227,197,175
48,product-48,128,196,143,143,114
49,product-49,117,206,74,113,238
50,product-50,162,186,206,72,121
51,product-51,155,156,47,17,141
52,product-52,204,252,166,150,273
53,product-53,175,234,162,169,28
54,product-54,66,115,199,140,47
55,product-55,103,165,200,66,89
56,product-56,220,243,211,227,224
57,product-57,219,249,153,122,178
58,product-58,100,116,219,227,174
59,product-59,73,144,219,150,76
60,product-60,74,102,235,128,160
61,product-61,48,74,187,124,152
62,product-62,59,102,112,199,56
63,product-63,174,216,216,69,85
64,product-64,82,99,141,41,207
65,product-65,193,230,96,98,108
66,product-66,185,201,70,52,17
67,product-67,126,148,38,81,187
68,product-68,170,186,128,170,94
69,product-69,88,139,211,138,143
70,product-70,51,110,116,152,38
71,product-71,115,136,232,196,107
72,product-72,31,33,175,137,206
73,product-73,92,146,83,239,128
74,product-74,85,123,155,177,139
75,product-75,185,247,105,136,22
76,product-76,163,164,139,189,266
77,product-77,199,209,68,29,153
78,product-78,206,259,266,130,51
79,product-79,173,209,179,209,121
80,product-80,161,177,140,84,43
81,product-81,244,248,136,172,175
82,product-82,11,98,134,58,115
83,product-83,76,165,20,253,140
84,product-84,117,204,11,128,79
85,product-85,127,219,206,183,158
86,product-86,87,92,147,106,42
87,product-87,26,62,61,81,117
88,product-88,175,185,81,152,42
89,product-89,17,59,173,271,122
90,product-90,225,248,163,150,234
91,product-91,196,223,76,98,200
92,product-92,175,246,134,224,45
93,product-93,213,276,215,201,178
94,product-94,40,126,121,98,117
95,product-95,196,202,96,98,176
96,product-96,215,305,24,82,101
97,product-97,100,123,64,63,235
98,product-98,176,193,133,58,87
99,product-99,89,120,220,178,131
100,product-100,89,136,90,100,17
101,product-101,220,295,101,39,124
102,product-102,231,239,28,131,187
103,product-103,88,128,156,118,220
104,product-104,91,99,64,91,99
105,product-105,164,243,108,81,22
106,product-106,148,232,207,107,197
107,product-107,133,202,216,61,155
108,product-108,217,238,44,127,202
109,product-109,97,152,194,91,94
110,product-110,79,143,10,194,129
111,product-111,121,151,128,36,26
112,product-112,199,270,232,212,58
113,product-113,108,200,119,164,164
114,product-114,27,35,202,56,152
115,product-115,211,284,71,14,173
116,product-116,226,274,123,187,38
117,product-117,108,169,245,212,127
118,product-118,69,80,144,148,70
119,product-119,183,213,3,211,129
120,product-120,181,246,239,210,101
121,product-121,119,136,139,66,132
122,product-122,55,92,104,78,211
123,product-123,200,290,20,200,59
124,product-124,169,180,100,142,91
125,product-125,96,146,200,163,168
126,product-126,201,248,70,192,196
127,product-127,115,121,179,56,216
128,product-128,84,102,24,16,67
129,product-129,83,139,56,190,132
130,product-130,82,135,160,217,48
131,product-131,32,49,79,98,160
132,product-132,184,197,48,91,181
133,product-133,171,242,77,168,99
134,product-134,195,227,174,118,185
135,product-135,175,191,229,100,91
136,product-136,54,78,223,200,70
137,product-137,89,119,139,102,100
138,product-138,180,187,112,200,229
139,product-139,150,224,72,62,1
140,product-140,181,183,252,150,44
141,product-141,169,177,79,191,29
142,product-142,224,229,186,187,223
143,product-143,44,112,19,119,82
144,product-144,242,326,50,118,95
145,product-145,80,91,89,105,41
146,product-146,6,59,6,207,32
147,product-147,164,224,201,148,200
148,product-148,71,102,83,19,144
149,product-149,182,272,22,71,120
150,product-150,94,94,154,47,142
151,product-151,83,111,81,133,178
152,product-152,42,56,142,62,171
153,product-153,218,224,185,77,202
154,product-154,86,159,49,150,74
155,product-155,169,252,191,166,150
156,product-156,204,218,123,152,94
157,product-157,133,171,155,79,225
158,product-158,177,227,135,38,187
159,product-159,95,182,171,70,190
160,product-160,223,234,71,74,32
161,product-161,173,192,56,34,227
162,product-162,98,185,65,50,39
163,product-163,71,80,178,223,75
164,product-164,166,172,118,60,57
165,product-165,107,120,209,239,194
166,product-166,155,163,175,109,105
167,product-167,115,163,23,81,249
168,product-168,167,220,77,110,234
169,product-169,112,192,114,216,72
170,product-170,127,135,24,135,112
171,product-171,105,165,189,203,219
172,product-172,191,284,174,29,234
173,product-173,9,44,190,171,80
174,product-174,198,235,105,181,29
175,product-175,77,85,243,30,168
176,product-176,131,163,163,98,175
177,product-177,30,108,161,89,248
178,product-178,175,249,116,33,142
179,product-179,29,92,89,101,127
180,product-180,168,210,27,184,36
181,product-181,201,275,154,84,67
182,product-182,101,110,210,174,33
183,product-183,159,200,114,160,187
184,product-184,201,288,176,95,32
185,product-185,177,192,65,24,218
186,product-186,195,261,85,128,45
187,product-187,108,177,47,79,38
188,product-188,133,153,83,166,159
189,product-189,248,319,142,86,208
190,product-190,184,248,191,97,205
191,product-191,249,284,27,243,102
192,product-192,70,94,210,167,256
193,product-193,83,167,80,161,146
194,product-194,178,260,170,116,90
195,product-195,209,288,127,189,196
196,product-196,224,226,117,62,147
197,product-197,195,249,118,146,122
198,product-198,217,291,169,86,175
199,product-199,45,104,204,223,72
200,product-200,201,241,158,18,137
201,product-201,154,180,85,140,101
202,product-202,221,277,84,207,6
203,product-203,208,213,166,19,101
204,product-204,231,244,156,24,64
205,product-205,126,207,56,102,92
206,product-206,168,256,92,172,207
207,product-207,187,196,184,91,102
208,product-208,109,145,220,124,19
209,product-209,131,148,35,218,97
210,product-210,55,56,237,51,188
211,product-211,69,105,157,158,150
212,product-212,201,279,185,188,215
213,product-213,163,182,190,23,154
214,product-214,239,289,115,29,200
215,product-215,88,162,206,99,15
216,product-216,39,137,122,138,19
217,product-217,163,200,83,2,79
218,product-218,124,160,97,80,91
219,product-219,204,256,181,26,73
220,product-220,11,48,21,258,30
221,product-221,65,118,141,148,30
222,product-222,105,185,115,162,178
223,product-223,82,121,110,154,158
224,product-224,24,26,104,56,50
225,product-225,182,224,74,78,136
226,product-226,180,240,134,152,158
227,product-227,172,231,124,139,179
228,product-228,36,57,194,192,195
229,product-229,185,249,132,144,188
230,product-230,153,213,112,41,120
231,product-231,49,147,128,179,159
232,product-232,85,179,147,103,173
233,product-233,75,76,3,201,30
234,product-234,121,139,47,57,194
235,product-235,51,138,108,41,143
236,product-236,182,276,74,203,132
237,product-237,105,159,65,113,137
238,product-238,204,261,191,82,111
239,product-239,161,243,116,191,156
240,product-240,129,139,55,94,121
241,product-241,107,141,226,119,103
242,product-242,200,270,186,108,83
243,product-243,156,167,191,58,56
244,product-244,134,171,163,50,110
245,product-245,186,236,111,112,190
246,product-246,199,210,107,258,26
247,product-247,91,161,104,125,133
248,product-248,28,75,56,157,88
249,product-249,244,244,78,218,71
250,product-250,148,174,67,193,149
251,product-251,68,140,187,61,152
252,product-252,85,172,193,16,182
253,product-253,137,182,60,163,254
254,product-254,68,152,168,27,91
255,product-255,55,73,65,97,72
256,product-256,81,99,177,127,195
257,product-257,134,176,163,134,78
258,product-258,51,88,185,64,183
259,product-259,83,163,172,121,68
260,product-260,136,187,22,51,93
261,product-261,39,127,64,151,100
262,product-262,80,156,126,137,71
263,product-263,105,108,188,170,21
264,product-264,106,129,160,265,40
265,product-265,133,187,138,62,92
266,product-266,61,94,19,12,202
267,product-267,156,226,133,129,83
268,product-268,85,173,172,97,128
269,product-269,142,180,134,146,15
270,product-270,35,102,123,249,25
271,product-271,120,156,179,42,32
272,product-272,71,112,26,143,26
273,product-273,128,204,106,152,192
274,product-274,149,183,134,161,71
275,product-275,101,105,156,193,89
276,product-276,84,121,211,123,160
277,product-277,30,92,203,157,147
278,product-278,86,105,150,69,53
279,product-279,189,269,155,200,52
280,product-280,172,194,165,152,160
281,product-281,206,274,52,146,30
282,product-282,194,277,122,121,138
283,product-283,5,65,165,192,83
284,product-284,201,298,194,188,9
285,product-285,39,63,129,124,38
286,product-286,191,241,204,108,97
287,product-287,93,132,76,130,167
288,product-288,26,78,56,80,122
289,product-289,173,184,177,163,144
290,product-290,108,135,74,64,173
291,product-291,215,293,17,217,107
292,product-292,98,157,43,133,69
293,product-293,165,230,128,184,147
294,product-294,137,167,170,87,106
295,product-295,157,168,71,182,74
296,product-296,199,288,65,25,95
297,product-297,127,171,39,121,219
298,product-298,107,161,174,191,92
299,product-299,204,251,158,143,249
300,product-300,109,140,150,69,34
301,product-301,173,245,187,81,167
302,product-302,115,120,173,226,22
303,product-303,15,105,49,142,158
304,product-304,173,197,247,84,40
305,product-305,102,131,48,137,86
306,product-306,132,181,217,71,180
307,product-307,168,190,163,162,11
308,product-308,147,171,84,83,160
309,product-309,157,209,136,89,28
310,product-310,128,194,137,43,65
311,product-311,48,90,98,130,70
312,product-312,206,222,84,96,16
313,product-313,117,207,204,75,199
314,product-314,46,95,128,33,52
315,product-315,223,258,116,141,111
316,product-316,183,250,66,177,205
317,product-317,126,164,148,151,145
318,product-318,256,290,57,151,80
319,product-319,139,205,140,33,77
320,product-320,27,71,23,224,156
321,product-321,49,82,40,25,37
322,product-322,154,199,187,25,33
323,product-323,30,63,139,150,141
324,product-324,219,260,115,182,92
325,product-325,154,195,182,23,72
326,product-326,207,251,168,118,181
327,product-327,260,351,71,72,133
328,product-328,76,118,47,244,112
329,product-329,92,122,108,111,3
330,product-330,158,161,174,173,183
331,product-331,213,262,100,140,105
332,product-332,147,166,187,208,128
333,product-333,28,56,76,127,139
334,product-334,34,116,100,64,166
335,product-335,101,170,126,108,84
336,product-336,89,154,32,60,87
337,product-337,128,168,194,69,69
338,product-338,59,59,50,269,249
339,product-339,95,178,68,80,100
340,product-340,47,56,179,59,65
341,product-341,141,170,212,47,171
342,product-342,161,196,41,76,148
343,product-343,54,99,153,181,139
