id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5
1,customer-1732,0,56,228,168,33,66,22
2,customer-100,1,66,226,226,19,109,76
3,customer-979,1,87,173,179,117,23,35
4,customer-1311,2,20,86,44,120,199,108
5,customer-113,2,42,104,213,103,164,83
6,customer-1830,3,31,129,169,178,212,37
7,customer-1603,3,45,113,112,106,119,111
8,customer-287,4,82,192,186,107,101,101
9,customer-1002,5,40,47,79,43,204,68
10,customer-1245,5,51,76,203,187,23,35
11,customer-1646,5,78,50,180,127,188,188
12,customer-567,7,41,165,10,210,208,209
13,customer-982,7,70,179,195,148,175,125
14,customer-1743,9,36,69,231,263,87,27
15,customer-922,9,38,192,126,121,40,23
16,customer-1702,9,45,23,106,112,96,67
17,customer-1945,9,51,125,57,105,110,168
18,customer-1776,9,84,235,228,245,78,94
19,customer-936,10,63,184,151,98,128,105
20,customer-1968,10,64,82,141,34,185,114
21,customer-1700,10,71,41,77,108,95,106
22,customer-617,10,90,66,202,34,22,60
23,customer-1303,11,50,123,85,67,77,14
24,customer-623,11,99,113,146,76,68,113
25,customer-952,12,27,183,29,171,4,171
26,customer-1917,13,64,58,208,143,107,203
27,customer-975,14,52,56,83,54,147,28
28,customer-872,14,78,160,12,218,206,123
29,customer-1263,14,83,99,185,218,174,118
30,customer-488,15,67,8,131,80,38,216
31,customer-562,15,103,26,140,69,67,90
32,customer-253,16,28,224,153,187,177,24
33,customer-175,16,32,19,118,165,86,144
34,customer-642,16,41,236,190,201,196,55
35,customer-1554,16,41,177,147,192,96,141
36,customer-570,16,58,68,76,198,40,187
37,customer-786,16,67,153,186,50,100,58
38,customer-1020,16,84,20,156,203,79,8
39,customer-1738,17,59,204,176,191,75,59
40,customer-1564,17,60,162,109,151,229,189
41,customer-1112,17,86,150,136,49,105,78
42,customer-847,17,100,174,206,224,202,218
43,customer-935,17,107,151,44,97,111,175
44,customer-1144,18,22,62,134,196,199,144
45,customer-385,18,24,184,66,70,141,115
46,customer-614,18,24,112,197,42,130,219
47,customer-1230,18,39,108,60,111,81,190
48,customer-1478,18,49,39,147,114,97,18
49,customer-1237,18,63,40,192,81,130,90
50,customer-448,18,80,114,88,41,178,58
51,customer-1227,18,106,193,87,143,121,159
52,customer-1880,18,111,161,195,139,81,127
53,customer-475,19,30,76,23,116,183,190
54,customer-662,19,66,217,155,176,34,223
55,customer-1995,19,102,269,169,36,195,192
56,customer-942,19,106,228,191,131,145,202
57,customer-897,20,38,75,74,133,90,159
58,customer-267,20,43,138,247,58,121,195
59,customer-841,20,45,87,123,152,143,24
60,customer-1436,20,50,36,149,156,20,95
61,customer-1760,20,51,165,208,202,194,193
