id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7
1,customer-1559,0,33,161,201,106,194,194,208,122
2,customer-387,2,9,88,77,203,232,53,250,235
3,customer-713,3,39,161,25,155,86,180,211,97
4,customer-692,3,76,136,72,104,134,190,16,61
5,customer-973,4,92,104,108,62,80,80,118,122
6,customer-586,6,38,209,101,172,136,70,88,181
7,customer-572,6,41,47,149,3,195,201,204,28
8,customer-827,6,65,49,197,19,176,196,90,58
9,customer-1322,7,42,67,96,119,170,126,7,13
10,customer-456,7,54,103,212,224,116,51,117,238
11,customer-491,7,99,159,66,195,47,103,206,205
12,customer-248,8,19,177,111,124,61,102,114,62
13,customer-1368,8,19,186,100,126,171,263,195,161
14,customer-1753,8,32,199,90,85,149,50,15,55
15,customer-304,8,40,96,66,135,109,133,72,165
16,customer-1602,9,35,90,139,248,134,126,126,60
17,customer-1916,9,66,187,105,203,137,144,50,141
18,customer-1948,9,101,150,60,231,144,176,67,73
19,customer-1716,10,22,197,165,197,25,180,201,61
20,customer-869,10,68,139,98,220,193,105,111,24
21,customer-1642,11,15,85,107,143,71,46,89,155
22,customer-941,11,51,97,75,200,179,211,148,140
23,customer-899,12,13,36,161,180,220,217,168,37
24,customer-149,12,36,83,186,58,66,114,144,132
25,customer-580,13,33,212,150,97,105,174,123,214
26,customer-9,13,78,179,65,199,164,92,206,63
27,customer-62,13,103,16,79,99,191,188,71,164
28,customer-82,14,19,143,194,174,55,219,41,78
29,customer-1067,14,39,143,198,80,72,201,120,100
30,customer-177,14,65,221,130,258,53,103,186,104
31,customer-429,14,85,38,51,153,120,137,185,85
32,customer-497,14,100,127,146,104,125,222,54,30
33,customer-307,14,102,206,49,182,93,187,71,125
34,customer-535,14,102,153,256,214,205,165,163,201
35,customer-1692,15,19,170,142,69,159,35,66,101
36,customer-1496,15,27,106,51,164,105,21,118,90
37,customer-664,15,98,23,175,218,156,160,79,215
38,customer-1407,16,85,146,159,78,84,198,185,208
39,customer-324,16,91,60,129,113,73,245,165,71
40,customer-1222,16,103,17,218,73,26,167,54,123
41,customer-1006,17,63,79,161,116,45,145,193,89
42,customer-427,17,74,105,167,216,30,75,117,152
43,customer-1578,17,85,125,223,190,61,180,32,72
44,customer-1114,17,91,65,29,194,69,125,140,79
45,customer-1910,17,108,175,31,161,182,94,140,55
46,customer-517,17,109,171,233,171,14,184,183,213
47,customer-142,18,26,74,146,54,228,157,170,153
48,customer-693,18,58,100,22,110,29,67,40,74
49,customer-1437,18,82,125,95,101,162,106,96,146
50,customer-1840,18,96,142,99,158,203,10,151,154
51,customer-1334,18,101,100,58,187,133,179,195,148
52,customer-1131,18,103,43,49,194,141,58,56,82
53,customer-341,18,114,109,236,188,157,194,133,72
54,customer-75,19,27,85,157,152,84,117,174,16
55,customer-495,19,37,145,147,151,188,178,173,59
56,customer-1134,19,73,208,151,46,120,37,197,118
57,customer-377,19,83,72,205,169,219,53,166,97
58,customer-1788,19,88,40,141,116,49,169,118,174
59,customer-1677,19,101,181,181,153,186,121,111,106
60,customer-1300,19,102,122,55,195,163,167,264,51
61,customer-12,20,28,172,121,94,170,163,38,125
62,customer-640,20,79,93,246,99,183,130,97,195
63,customer-665,21,71,180,56,111,145,173,5,76
64,customer-1935,21,76,94,169,135,103,194,214,56
65,customer-766,22,38,94,165,16,102,104,170,160
66,customer-1203,22,59,85,161,75,138,66,78,103
67,customer-1250,22,62,163,187,54,119,140,138,79
68,customer-1658,22,88,176,187,198,79,129,187,44
69,customer-119,22,117,107,52,191,227,124,55,102
70,customer-1108,24,34,34,119,201,51,110,184,50
71,customer-167,24,40,69,109,101,105,6,115,59
72,customer-318,24,65,179,64,175,125,110,142,100
73,customer-1921,24,80,169,116,36,80,149,79,53
74,customer-626,24,84,116,168,154,49,141,70,110
75,customer-326,24,86,141,60,25,125,91,207,139
76,customer-1397,24,86,142,118,117,187,164,155,213
77,customer-637,24,101,183,46,168,29,5,218,64
78,customer-704,25,33,135,142,164,51,39,174,15
79,customer-864,25,34,80,80,263,152,164,95,94
80,customer-1054,25,34,81,104,285,141,89,150,184
81,customer-44,25,85,226,160,64,78,144,210,143
82,customer-1898,25,88,191,96,149,92,84,128,14
83,customer-1226,26,38,136,149,80,103,217,196,248
84,customer-532,26,42,100,59,181,65,81,89,64
85,customer-354,26,67,151,87,171,160,126,141,212
86,customer-66,26,71,109,193,99,197,156,200,22
87,customer-1065,26,94,122,179,151,47,76,96,70
88,customer-923,26,110,126,123,163,196,136,171,38
89,customer-1513,26,111,139,133,197,169,45,64,114
90,customer-1202,27,64,109,36,195,60,153,27,200
91,customer-910,27,75,186,36,185,199,169,80,76
92,customer-1532,27,75,165,92,89,46,36,174,163
93,customer-251,27,82,29,123,81,217,18,111,116
94,customer-1673,27,90,99,151,44,121,219,218,102
