id,label,ts_in,ts_out,attr_1,attr_2
1,customer-2192,0,195,26,209
2,customer-4774,1,79,153,128
3,customer-2432,3,6,209,198
4,customer-4778,3,14,78,112
5,customer-1586,4,67,48,169
6,customer-4764,4,95,51,115
7,customer-3224,5,10,66,173
8,customer-3781,5,13,51,24
9,customer-288,5,86,144,117
10,customer-2115,5,90,2,136
11,customer-1983,5,94,46,115
12,customer-427,6,33,100,255
13,customer-2138,6,49,25,156
14,customer-752,7,12,155,74
15,customer-4478,7,17,197,122
16,customer-3423,7,27,180,112
17,customer-1541,7,46,43,192
18,customer-905,7,67,276,211
19,customer-3990,7,69,142,43
20,customer-34,7,70,156,208
21,customer-333,7,74,170,188
22,customer-1166,7,88,80,151
23,customer-3077,7,90,62,217
24,customer-3165,7,94,88,77
25,customer-2054,8,35,182,156
26,customer-820,8,36,54,150
27,customer-4058,8,57,43,134
28,customer-2612,8,64,199,182
29,customer-259,8,74,139,69
30,customer-2316,9,15,24,74
31,customer-3603,9,18,119,206
32,customer-934,9,35,172,80
33,customer-4155,9,47,184,212
34,customer-1431,9,48,238,70
35,customer-1756,9,48,137,116
36,customer-839,9,52,176,69
37,customer-4865,9,64,127,12
38,customer-3653,9,75,67,183
39,customer-3558,9,91,8,223
40,customer-1491,10,22,80,165
41,customer-2947,10,27,164,18
42,customer-1834,10,32,91,66
43,customer-645,10,34,160,24
44,customer-4449,10,53,16,135
45,customer-1982,10,66,218,94
46,customer-287,10,85,110,64
47,customer-3360,10,101,223,101
48,customer-3746,11,11,79,97
49,customer-3041,11,16,117,135
50,customer-1869,11,22,40,185
51,customer-203,11,27,63,103
52,customer-4239,11,27,162,169
53,customer-2342,11,37,53,140
54,customer-2710,11,44,32,80
55,customer-368,11,51,225,212
56,customer-1415,11,51,131,126
57,customer-4681,11,57,180,14
58,customer-2877,11,66,180,41
59,customer-3202,11,105,27,65
60,customer-3875,12,24,203,29
61,customer-4483,12,32,171,122
62,customer-1989,12,45,160,63
63,customer-4341,12,45,73,30
64,customer-529,12,58,51,149
65,customer-4302,12,79,136,212
66,customer-2015,12,88,55,153
67,customer-3024,12,91,197,116
68,customer-4544,12,103,30,129
69,customer-2251,12,104,64,84
70,customer-1830,13,16,84,100
71,customer-3956,13,27,175,41
72,customer-2260,13,71,182,232
73,customer-1313,13,85,63,164
74,customer-9,13,92,116,50
75,customer-4739,13,93,75,140
76,customer-2871,13,94,146,102
77,customer-666,14,18,227,163
78,customer-466,14,36,239,40
79,customer-2398,14,46,192,162
80,customer-1520,14,58,196,60
81,customer-2820,14,65,211,90
82,customer-4583,14,79,96,204
83,customer-219,14,86,163,148
84,customer-4735,14,92,163,57
85,customer-869,14,105,182,50
86,customer-4625,14,109,161,150
87,customer-1306,15,25,211,59
88,customer-1662,15,27,91,182
89,customer-3686,15,28,54,149
90,customer-863,15,29,180,201
91,customer-1088,15,50,127,80
92,customer-1844,15,72,142,68
93,customer-2460,15,73,66,187
94,customer-675,15,78,126,191
95,customer-2127,15,106,94,132
96,customer-4082,16,26,219,150
97,customer-2633,16,30,196,207
98,customer-868,16,32,105,206
99,customer-3622,16,36,221,169
100,customer-4826,16,38,47,69
101,customer-2783,16,40,225,142
102,customer-2288,16,59,53,29
103,customer-3938,16,61,152,29
104,customer-3457,16,86,41,81
105,customer-2552,16,87,128,120
106,customer-2486,16,89,243,45
107,customer-4802,16,90,141,9
108,customer-3881,16,96,181,147
109,customer-332,16,104,19,192
110,customer-338,16,110,139,129
111,customer-1067,17,21,32,153
112,customer-72,17,42,11,61
113,customer-334,17,44,183,87
114,customer-3284,17,48,134,99
115,customer-3065,17,67,70,129
116,customer-700,17,73,183,19
117,customer-3021,17,87,44,72
