id,label,ts_in,ts_out,attr_1,attr_2
1,product-3178,0,139,146,176
2,product-1938,0,151,77,64
3,product-325,1,28,68,63
4,product-2438,1,45,96,22
5,product-4238,2,26,232,92
6,product-2669,2,64,78,67
7,product-1627,3,5,40,134
8,product-1233,3,18,228,163
9,product-2159,3,18,198,162
10,product-2663,3,28,214,221
11,product-4023,3,30,138,82
12,product-287,3,63,87,34
13,product-175,3,84,59,106
14,product-2500,4,10,29,93
15,product-4412,4,26,157,35
16,product-4505,4,60,178,65
17,product-2606,4,61,88,107
18,product-842,4,77,91,60
19,product-3973,5,9,144,87
20,product-2949,5,51,140,171
21,product-4116,5,87,111,188
22,product-696,6,17,33,18
23,product-939,6,38,207,86
24,product-3828,6,42,92,204
25,product-940,6,52,180,134
26,product-2495,6,93,183,107
27,product-3609,7,23,175,87
28,product-2047,7,67,167,35
29,product-2263,7,79,213,173
30,product-291,7,82,124,231
31,product-4336,7,87,176,172
32,product-2835,8,18,124,50
33,product-38,8,23,236,151
34,product-1010,8,65,178,67
35,product-2535,8,72,119,197
36,product-4834,8,76,88,180
37,product-2429,8,82,67,59
38,product-3171,8,84,86,68
39,product-3982,8,100,165,135
40,product-2257,9,22,122,161
41,product-700,9,33,113,79
42,product-3631,9,34,133,182
43,product-2062,9,41,93,209
44,product-3173,9,60,107,79
45,product-1425,9,73,27,154
46,product-4134,9,83,223,60
47,product-3095,9,87,203,157
48,product-3849,9,97,17,192
49,product-4854,9,99,16,7
50,product-439,10,14,45,145
51,product-3570,10,16,166,34
52,product-1260,10,17,92,85
53,product-1668,10,49,100,165
54,product-2032,10,69,168,172
55,product-4411,10,94,91,149
56,product-4655,11,14,200,219
57,product-4328,11,23,236,222
58,product-1129,11,34,193,48
59,product-456,11,47,89,110
60,product-4707,11,57,222,126
61,product-943,11,62,196,131
62,product-4284,11,79,125,191
63,product-2,11,81,84,189
64,product-4979,11,91,190,275
65,product-1803,11,97,200,155
66,product-4096,11,99,35,126
67,product-1659,12,22,58,110
68,product-583,12,27,123,210
69,product-1469,12,36,12,26
70,product-2788,12,39,206,23
71,product-3469,12,53,149,12
72,product-778,12,59,117,35
73,product-2138,12,66,204,170
74,product-569,12,67,58,226
75,product-2502,12,68,189,198
76,product-1904,12,72,156,79
77,product-4344,12,76,163,195
78,product-4787,12,79,68,130
79,product-2758,12,84,45,100
80,product-4929,12,86,202,100
81,product-827,12,95,12,140
82,product-2201,12,96,135,165
83,product-1521,12,106,230,63
84,product-4251,13,19,158,71
85,product-70,13,23,109,28
86,product-1385,13,35,187,111
87,product-357,13,39,101,104
88,product-2015,13,52,114,92
89,product-3582,13,57,110,45
90,product-2057,13,61,86,246
91,product-4465,13,71,42,248
92,product-1036,13,92,232,96
93,product-4574,13,102,235,192
94,product-2050,14,16,113,146
95,product-2435,14,22,175,11
96,product-2152,14,28,89,187
97,product-2447,14,49,152,65
98,product-817,14,54,136,151
99,product-1577,14,63,229,25
100,product-1969,14,65,138,174
101,product-2651,14,79,64,38
102,product-1943,14,82,136,45
103,product-3787,14,82,43,99
104,product-557,14,91,140,79
105,product-3683,14,99,123,186
106,product-935,14,102,176,198
107,product-4749,14,109,208,60
108,product-750,15,25,192,116
109,product-2133,15,25,52,234
110,product-4380,15,28,122,91
111,product-1710,15,41,128,112
112,product-3491,15,49,62,217
113,product-3446,15,50,61,48
114,product-245,15,58,33,149
115,product-3233,15,59,85,28
116,product-4455,15,62,81,14
117,product-3867,15,65,148,69
118,product-4783,15,70,266,82
119,product-320,15,73,18,196
120,product-1673,15,75,33,30
121,product-10,15,87,96,80
122,product-1475,15,88,91,58
123,product-3516,15,93,245,73
124,product-1563,15,94,57,227
125,product-127,15,105,120,220
126,product-1283,15,108,87,117
127,product-2497,16,21,199,184
128,product-889,16,28,155,57
129,product-1616,16,34,97,224
130,product-2374,16,39,28,205
131,product-1666,16,41,76,143
132,product-4578,16,46,172,96
133,product-3881,16,51,80,128
134,product-3834,16,62,50,122
135,product-2256,17,17,123,87
136,product-2449,17,40,130,192
137,product-3880,17,43,226,155
138,product-1186,17,45,149,38
139,product-3583,17,48,191,145
140,product-605,17,58,85,102
141,product-1830,17,75,146,265
142,product-4395,17,77,151,148
143,product-4858,17,79,21,50
144,product-1057,17,82,145,128
145,product-832,17,87,120,59
146,product-3587,17,90,26,23
147,product-1728,17,102,87,193
148,product-1783,17,105,64,140
149,product-1826,17,113,149,94
150,product-705,18,18,57,198
151,product-1556,18,39,121,130
152,product-4836,18,44,229,121
153,product-217,18,53,134,65
154,product-4244,18,54,102,96
155,product-4553,18,57,114,160
156,product-4583,18,58,34,37
157,product-1276,18,60,108,114
158,product-2005,18,68,65,120
159,product-2084,18,69,111,106
160,product-2706,18,70,116,222
161,product-3014,18,79,199,72
162,product-4089,18,88,194,198
163,product-4832,18,95,198,33
164,product-478,18,101,175,158
165,product-275,18,111,110,212
166,product-4891,19,22,220,64
167,product-2134,19,35,146,165
168,product-3036,19,38,54,82
169,product-62,19,44,33,111
170,product-4409,19,45,95,206
171,product-4338,19,46,222,88
172,product-2364,19,54,275,159
173,product-1081,19,59,45,53
174,product-1466,19,72,226,68
175,product-4756,19,77,124,74
176,product-4833,19,82,90,117
177,product-1788,19,94,111,120
178,product-2676,19,97,73,39
179,product-3813,19,97,141,119
180,product-54,19,111,138,191
181,product-3003,20,28,182,158
182,product-4489,20,48,210,9
183,product-3968,20,66,107,85
184,product-3659,20,74,51,10
185,product-2010,20,84,177,251
186,product-202,20,92,33,50
187,product-1958,20,92,170,220
188,product-571,20,93,168,122
189,product-2778,20,97,98,69
190,product-3138,21,41,109,117
191,product-913,21,45,47,85
192,product-323,21,52,123,193
193,product-840,21,53,67,60
194,product-1711,21,64,125,203
195,product-1011,21,65,33,117
196,product-3820,21,71,183,204
197,product-4871,21,72,9,206
198,product-2077,21,76,82,103
199,product-2650,21,81,213,39
200,product-4269,21,83,3,176
201,product-4841,21,97,191,21
202,product-3800,22,24,41,62
203,product-14,22,27,203,123
204,product-4537,22,29,23,173
205,product-2638,22,32,117,60
206,product-176,22,33,119,134
207,product-362,22,42,35,105
208,product-4029,22,42,66,77
209,product-2895,22,48,188,87
210,product-1975,22,56,128,87
211,product-3016,22,64,179,212
212,product-4781,22,69,25,157
213,product-2983,22,73,66,67
214,product-673,22,76,86,136
215,product-2545,22,76,155,135
216,product-1987,22,78,35,28
217,product-4534,22,80,111,178
218,product-2854,22,95,113,205
219,product-1776,22,104,197,150
220,product-948,22,107,132,102
221,product-2609,23,39,140,42
222,product-638,23,41,52,93
223,product-2823,23,45,155,14
224,product-1037,23,62,197,174
225,product-2538,23,62,73,227
226,product-742,23,69,175,69
227,product-3960,23,73,181,77
228,product-2659,23,78,47,211
229,product-4608,23,91,50,109
230,product-2411,23,92,57,25
231,product-4575,23,99,124,194
232,product-2585,23,103,41,81
233,product-667,23,113,87,158
234,product-86,24,29,171,247
235,product-2056,24,43,163,97
236,product-1423,24,47,121,142
237,product-4579,24,54,55,174
238,product-1467,24,68,91,44
239,product-1120,24,72,73,196
240,product-1921,24,72,171,201
241,product-235,24,73,186,59
242,product-3992,24,86,66,94
243,product-2241,24,88,161,82
244,product-44,24,115,165,5
245,product-4627,25,27,75,148
246,product-1092,25,29,146,169
247,product-3409,25,39,177,222
248,product-310,25,65,172,162
249,product-2673,25,65,121,163
250,product-3932,25,72,95,20
251,product-1291,25,74,207,228
252,product-2048,25,74,264,118
253,product-2696,25,80,108,158
254,product-354,25,82,65,35
255,product-2732,25,93,196,271
256,product-4549,25,95,210,203
257,product-4998,25,95,241,103
258,product-3392,25,103,98,220
259,product-1459,26,30,121,70
260,product-4518,26,33,92,80
261,product-1834,26,37,182,153
262,product-1643,26,53,166,164
263,product-1237,26,56,233,108
264,product-409,26,58,108,160
265,product-3708,26,61,65,83
266,product-1157,26,67,103,94
267,product-2262,26,67,72,129
268,product-4012,26,69,139,181
269,product-3055,26,81,166,174
270,product-789,26,82,73,167
271,product-2424,26,83,126,86
272,product-4814,26,86,29,197
273,product-2687,26,87,25,159
274,product-4801,26,94,196,191
275,product-3879,26,108,182,92
276,product-3168,26,110,236,165
277,product-2266,26,116,137,19
278,product-95,27,27,162,172
279,product-4616,27,27,111,215
280,product-1427,27,32,83,49
281,product-4044,27,43,85,193
282,product-2568,27,60,57,120
283,product-3496,27,60,179,76
284,product-3005,27,63,10,51
285,product-4189,27,63,136,33
286,product-434,27,68,108,124
287,product-1887,27,71,119,161
288,product-4687,27,71,87,235
289,product-4807,27,74,197,181
290,product-2559,27,79,206,181
291,product-606,27,91,153,81
292,product-846,27,104,97,49
293,product-2874,27,112,202,23
294,product-2896,27,112,79,136
295,product-3386,27,112,32,207
296,product-1912,28,31,114,171
297,product-1641,28,59,166,47
298,product-3925,28,60,79,211
299,product-2295,28,70,106,36
300,product-1882,28,72,14,65
301,product-969,28,74,215,142
302,product-401,28,86,178,124
303,product-3293,28,101,66,124
304,product-3385,28,108,188,140
305,product-3360,28,116,127,170
306,product-2521,28,128,55,175
307,product-2968,29,38,26,30
308,product-4063,29,43,29,90
309,product-2746,29,49,215,209
310,product-1676,29,54,218,166
311,product-2667,29,63,162,133
312,product-3205,29,80,134,136
313,product-1956,29,94,130,2
314,product-4019,29,101,171,177
315,product-2024,29,108,86,100
316,product-4723,29,124,208,141
317,product-3460,30,32,170,187
318,product-619,30,41,159,11
319,product-2340,30,41,107,122
320,product-1456,30,59,110,103
321,product-4420,30,63,14,176
322,product-765,30,66,125,119
323,product-204,30,70,200,69
324,product-2587,30,72,152,143
325,product-1139,30,82,163,126
326,product-2414,30,88,137,103
327,product-3308,30,91,168,246
328,product-3151,30,95,140,88
329,product-2097,30,96,92,48
330,product-3015,30,100,167,171
331,product-2076,30,114,21,109
332,product-4727,30,120,181,64
333,product-4857,31,51,82,31
334,product-1165,31,60,116,36
335,product-2116,31,60,158,8
336,product-4199,31,62,49,71
337,product-4797,31,83,44,153
338,product-3991,31,87,239,42
339,product-4905,31,87,185,233
340,product-1581,31,89,73,38
341,product-3592,31,90,184,162
342,product-1349,31,95,104,130
343,product-2145,31,109,178,94
344,product-247,31,115,137,212
345,product-1008,31,123,104,75
346,product-2055,31,125,198,192
347,product-4576,31,126,59,98
348,product-633,32,33,159,185
349,product-232,32,35,40,136
350,product-3096,32,35,10,147
351,product-73,32,43,109,86
352,product-4660,32,52,173,148
353,product-1114,32,64,101,106
354,product-157,32,73,193,132
355,product-1275,32,95,126,91
356,product-996,32,97,170,35
357,product-1780,32,97,144,115
358,product-835,32,99,110,104
359,product-3242,32,111,206,61
360,product-17,32,123,115,198
361,product-359,33,38,65,13
362,product-2101,33,38,244,193
363,product-3184,33,38,139,140
364,product-4597,33,38,200,120
365,product-2958,33,46,230,99
366,product-3218,33,46,103,222
367,product-1026,33,49,125,61
368,product-473,33,53,93,160
369,product-3916,33,53,80,188
370,product-709,33,56,117,196
371,product-4703,33,61,175,47
372,product-3454,33,65,101,125
373,product-3653,33,71,158,4
374,product-1174,33,75,78,197
375,product-4476,33,82,184,134
376,product-4001,33,90,153,100
377,product-4496,33,93,57,158
378,product-4906,33,93,185,270
379,product-3970,33,103,200,194
380,product-1359,33,106,140,57
381,product-1732,33,106,102,194
382,product-3180,33,117,138,255
383,product-350,33,122,162,4
384,product-1808,34,35,122,163
385,product-1431,34,37,65,142
386,product-4138,34,42,123,128
387,product-3808,34,46,148,146
388,product-4764,34,47,96,113
389,product-2443,34,56,51,181
390,product-249,34,88,94,176
391,product-2558,34,92,196,67
392,product-732,34,100,170,198
393,product-3847,34,102,200,202
394,product-587,34,110,212,150
395,product-1229,34,115,186,138
396,product-4191,34,128,82,145
397,product-887,35,42,183,70
398,product-2900,35,50,209,67
399,product-4142,35,50,61,182
400,product-2677,35,60,90,67
401,product-2463,35,65,11,44
402,product-334,35,68,122,179
403,product-3105,35,75,228,52
404,product-120,35,104,84,88
405,product-2975,35,104,48,60
406,product-922,35,106,199,140
407,product-2230,35,106,125,227
408,product-3374,35,108,228,121
409,product-3321,35,114,147,93
410,product-4440,35,116,152,195
411,product-3811,35,117,168,10
412,product-2006,35,120,83,94
413,product-3668,36,36,163,143
414,product-1190,36,42,190,57
415,product-1996,36,66,170,60
416,product-2993,36,73,66,205
417,product-1034,36,81,127,208
418,product-2614,36,85,216,9
419,product-3119,36,88,94,230
420,product-1920,36,89,115,193
421,product-1143,36,106,37,89
422,product-4094,36,111,152,168
423,product-4100,36,111,114,209
424,product-4372,36,118,226,162
425,product-3150,36,120,61,24
426,product-1976,36,121,124,207
427,product-1623,36,124,71,181
428,product-592,36,125,64,172
429,product-3557,36,128,172,230
430,product-4507,36,131,186,39
431,product-4595,36,132,82,193
432,product-536,37,41,124,57
433,product-2459,37,47,73,202
434,product-3688,37,47,100,221
435,product-4184,37,52,82,233
436,product-43,37,58,135,74
437,product-2353,37,62,157,168
438,product-1649,37,64,147,103
439,product-4745,37,97,95,189
440,product-733,37,99,84,249
441,product-986,37,113,198,100
442,product-4320,37,116,138,97
443,product-3266,37,117,95,147
444,product-3856,37,120,147,135
445,product-149,37,126,66,212
446,product-4628,38,42,102,195
447,product-3029,38,44,91,75
448,product-2093,38,49,195,117
449,product-4210,38,54,145,195
450,product-2287,38,58,180,54
451,product-766,38,59,75,142
452,product-4229,38,59,204,154
453,product-3567,38,78,44,169
454,product-1758,38,80,225,57
455,product-805,38,85,173,83
456,product-770,38,107,108,27
457,product-3372,38,112,187,92
458,product-4303,38,114,151,186
459,product-1295,38,118,165,161
460,product-198,38,126,49,61
461,product-2389,39,45,70,150
462,product-4332,39,45,210,56
463,product-3862,39,57,66,37
464,product-240,39,72,111,12
465,product-1041,39,75,184,91
466,product-348,39,90,61,65
467,product-1329,39,95,42,100
468,product-1648,39,121,111,11
469,product-718,39,124,192,8
470,product-3912,39,131,70,193
471,product-3128,40,40,68,67
472,product-1859,40,41,96,168
473,product-3302,40,51,178,86
474,product-2789,40,52,188,101
475,product-4784,40,57,141,173
476,product-4773,40,62,71,64
477,product-4696,40,63,74,204
478,product-2754,40,69,171,95
479,product-4686,40,82,131,196
480,product-2765,40,90,66,50
481,product-2259,40,96,110,168
482,product-1909,40,114,56,52
483,product-2743,40,118,32,239
484,product-3101,40,123,95,144
485,product-3892,40,124,233,53
486,product-1974,40,125,119,146
487,product-4510,40,127,172,67
488,product-485,40,129,131,173
489,product-1535,40,131,32,172
490,product-3268,40,134,244,99
491,product-499,41,51,12,43
492,product-3065,41,71,135,189
493,product-3068,41,90,20,204
494,product-3577,41,91,104,123
495,product-2530,41,97,229,174
496,product-2808,41,97,170,199
497,product-2470,41,100,135,37
498,product-1867,41,101,163,115
499,product-1257,41,107,44,88
500,product-4890,41,113,207,205
501,product-2520,41,114,225,190
502,product-1321,41,116,184,125
503,product-161,41,126,243,128
504,product-795,41,128,104,40
505,product-1101,41,131,27,150
506,product-4804,41,139,135,187
507,product-262,42,42,245,80
508,product-3902,42,48,233,97
509,product-3744,42,49,56,223
510,product-4719,42,57,266,178
511,product-4951,42,63,231,85
512,product-2905,42,67,96,150
513,product-740,42,70,102,124
514,product-1367,42,70,101,165
515,product-544,42,71,57,82
516,product-4121,42,80,90,95
517,product-4221,42,81,227,157
518,product-3028,42,85,42,90
519,product-3615,42,91,118,170
520,product-1159,42,97,38,54
521,product-1771,42,104,186,204
522,product-4045,42,104,77,46
523,product-4399,42,105,249,167
524,product-3812,42,112,26,80
525,product-2327,42,115,186,59
526,product-3728,42,129,94,158
527,product-4082,42,137,45,57
528,product-3747,43,49,60,143
529,product-4611,43,59,140,114
530,product-1205,43,61,39,183
531,product-966,43,62,157,116
532,product-4058,43,78,98,28
533,product-4779,43,78,130,125
534,product-1795,43,83,182,32
535,product-1071,43,85,120,180
536,product-3504,43,89,219,113
537,product-3764,43,89,132,131
538,product-4843,43,89,213,187
539,product-869,43,94,138,70
540,product-4166,43,99,104,225
541,product-1746,43,100,126,115
542,product-2415,43,103,48,61
543,product-255,43,108,75,86
544,product-761,43,109,46,29
545,product-3471,43,120,174,181
546,product-213,43,123,226,162
547,product-128,43,132,132,132
548,product-3637,44,44,89,214
549,product-4531,44,68,219,129
550,product-4561,44,70,96,156
551,product-2684,44,75,159,200
552,product-4361,44,86,48,58
553,product-3231,44,87,90,73
554,product-999,44,94,143,104
555,product-3004,44,95,80,154
556,product-3955,44,108,162,47
557,product-3267,44,110,5,242
558,product-4952,44,111,43,50
559,product-4759,44,114,115,43
560,product-4295,44,115,113,211
561,product-3462,44,119,165,184
562,product-4941,44,120,224,143
563,product-1374,44,121,234,186
564,product-1102,44,126,263,168
565,product-2368,44,128,159,133
566,product-4416,44,130,44,129
567,product-1791,45,45,190,185
568,product-4863,45,45,106,215
569,product-2848,45,48,210,98
570,product-664,45,57,25,94
571,product-3909,45,59,190,41
572,product-4918,45,67,83,160
573,product-4196,45,68,133,28
574,product-676,45,70,210,121
575,product-1241,45,70,209,32
576,product-4620,45,74,236,98
577,product-1225,45,75,222,148
578,product-1487,45,77,69,180
579,product-2288,45,101,204,30
580,product-2526,45,102,66,153
581,product-2790,45,111,170,263
582,product-4517,45,112,109,165
583,product-2508,45,122,97,189
584,product-2265,45,123,184,165
585,product-4963,45,126,105,144
586,product-4268,45,134,247,208
587,product-1799,46,47,134,64
588,product-3081,46,50,50,92
589,product-3103,46,57,169,113
590,product-2506,46,59,75,175
591,product-4924,46,59,206,153
592,product-1123,46,64,277,81
593,product-299,46,65,80,238
594,product-1889,46,66,147,95
595,product-4560,46,68,20,64
596,product-3479,46,71,91,42
597,product-1740,46,77,128,75
598,product-3370,46,81,143,133
599,product-4973,46,86,60,28
600,product-1440,46,103,164,119
601,product-3488,46,105,78,218
602,product-2809,46,106,122,88
603,product-4392,46,114,91,128
604,product-3431,46,115,108,57
605,product-1171,46,135,28,232
606,product-4033,46,136,210,227
607,product-1406,46,139,117,210
608,product-4529,47,48,83,65
609,product-2880,47,51,135,5
610,product-1664,47,55,119,52
611,product-525,47,56,98,84
612,product-2959,47,66,205,111
613,product-3626,47,66,68,138
614,product-3220,47,72,227,53
615,product-221,47,91,162,57
616,product-8,47,111,124,188
617,product-1358,47,112,25,39
618,product-4925,47,117,136,210
619,product-2600,47,120,207,69
620,product-1879,47,122,96,54
621,product-910,47,130,115,106
622,product-2329,47,136,114,242
623,product-3345,47,137,155,62
624,product-2972,47,138,73,33
625,product-2786,47,140,179,63
626,product-2314,47,142,197,114
627,product-1315,48,51,206,90
628,product-4570,48,51,113,113
629,product-345,48,64,155,214
630,product-252,48,69,74,48
631,product-2410,48,70,167,189
632,product-2567,48,80,56,160
633,product-2795,48,93,147,144
634,product-4376,48,94,61,171
635,product-1147,48,102,102,164
636,product-4274,48,115,196,41
637,product-4589,48,118,85,186
638,product-2566,48,128,96,165
639,product-4913,48,133,75,201
640,product-4831,48,135,81,185
641,product-4935,49,55,252,192
642,product-2966,49,56,64,67
643,product-2822,49,58,120,209
644,product-1285,49,60,18,221
645,product-683,49,61,89,87
646,product-1312,49,61,157,82
647,product-4127,49,69,175,69
648,product-4945,49,71,96,206
649,product-2286,49,72,222,124
650,product-2817,49,84,17,102
651,product-3664,49,90,87,69
652,product-3076,49,91,191,72
653,product-3680,49,92,159,129
654,product-4018,49,97,223,92
655,product-2589,49,102,131,121
656,product-4540,49,103,107,17
657,product-3793,49,105,173,123
658,product-1170,49,111,133,160
659,product-4103,49,114,96,133
660,product-1458,49,124,151,182
661,product-3136,49,126,138,141
662,product-4944,50,50,126,203
663,product-3788,50,53,81,125
664,product-656,50,54,164,149
665,product-1394,50,58,204,112
666,product-1990,50,58,86,68
667,product-2393,50,63,31,192
668,product-3249,50,70,161,180
669,product-1178,50,73,66,242
670,product-1277,50,75,56,146
671,product-174,50,76,162,210
672,product-851,50,76,178,79
673,product-2160,50,77,81,77
674,product-907,50,84,122,164
675,product-1238,50,90,192,49
676,product-2633,50,90,139,86
677,product-4911,50,90,7,158
678,product-2522,50,101,75,118
679,product-4968,50,106,148,158
680,product-1712,50,134,88,165
681,product-1128,50,135,48,229
682,product-4073,50,136,187,201
683,product-84,51,53,186,71
684,product-1765,51,55,93,32
685,product-3475,51,56,178,97
686,product-4204,51,63,269,61
687,product-1293,51,68,68,128
688,product-3341,51,68,220,97
689,product-1164,51,82,11,121
690,product-985,51,87,43,124
691,product-4157,51,87,36,110
692,product-4390,51,87,81,104
693,product-3553,51,100,81,207
694,product-3320,51,104,30,51
695,product-4612,51,116,208,17
696,product-2498,51,117,136,101
697,product-3671,51,117,146,169
698,product-1807,51,126,25,133
699,product-2779,51,129,165,123
700,product-612,51,136,64,81
701,product-1377,51,137,228,165
702,product-4623,51,145,118,112
703,product-4654,52,54,51,24
704,product-610,52,62,229,162
705,product-4479,52,64,84,130
706,product-3404,52,79,168,117
707,product-3751,52,87,230,42
