id,label,ts_in,ts_out,attr_1,attr_2,attr_3,attr_4,attr_5
1,product-552,1,19,90,188,259,120,199
2,product-2464,1,22,89,181,194,227,83
3,product-989,1,28,177,202,85,57,171
4,product-1402,1,78,221,172,65,41,122
5,product-1444,1,82,89,42,112,60,154
6,product-1356,2,36,21,140,81,65,28
7,product-3855,3,22,191,62,117,196,168
8,product-4819,3,32,185,73,55,114,85
9,product-1039,3,35,111,108,135,111,228
10,product-1250,3,79,72,171,37,97,132
11,product-1461,3,89,189,68,38,154,156
12,product-3833,4,21,106,262,192,139,202
13,product-2063,4,37,52,2,126,101,175
14,product-4882,4,37,160,192,174,154,241
15,product-3092,4,42,266,64,207,41,185
16,product-2492,4,45,166,137,225,66,69
17,product-3095,4,57,211,106,138,133,56
18,product-4590,4,57,110,181,211,127,135
19,product-3600,4,66,165,59,152,39,208
20,product-4154,4,67,73,78,68,145,189
21,product-3193,4,68,89,86,192,186,146
22,product-3160,5,6,219,101,135,141,5
23,product-4415,5,15,71,155,198,150,104
24,product-722,5,21,50,168,205,222,188
25,product-298,5,24,219,71,95,169,31
26,product-4977,5,27,215,209,175,119,46
27,product-829,5,29,103,95,114,94,154
28,product-2837,5,45,22,91,106,179,192
29,product-4640,5,72,73,51,58,100,223
30,product-2035,5,85,175,45,107,104,172
31,product-2698,6,31,200,32,238,179,111
32,product-1309,6,48,217,150,67,153,183
33,product-4477,6,71,197,152,140,131,90
34,product-2827,6,79,122,87,130,98,163
35,product-2893,7,30,200,199,185,79,186
36,product-1212,7,34,112,113,172,54,79
37,product-45,7,38,156,109,32,222,63
38,product-4539,7,72,182,201,214,155,83
39,product-3040,7,87,112,101,42,77,115
40,product-4690,7,98,160,50,153,44,176
41,product-654,8,12,104,92,60,140,110
42,product-634,8,24,14,151,193,130,251
43,product-1951,8,41,248,116,95,16,205
44,product-3845,8,46,110,82,54,100,184
45,product-884,8,56,48,185,31,33,100
46,product-3801,8,64,63,159,47,64,68
47,product-847,8,83,94,223,184,36,201
48,product-3815,9,21,202,206,51,88,72
49,product-403,9,27,131,147,260,113,118
50,product-4239,9,31,84,16,197,139,179
51,product-4140,9,32,121,118,81,166,135
52,product-116,9,42,116,32,142,75,153
53,product-4122,9,49,62,110,101,186,71
54,product-582,9,60,91,244,151,77,57
55,product-826,9,75,167,86,140,149,91
56,product-3293,9,76,115,4,174,185,98
57,product-4225,10,16,73,40,128,99,126
58,product-247,10,25,159,160,86,265,117
59,product-158,10,30,36,235,75,234,187
60,product-1201,10,52,151,182,146,39,86
61,product-4517,10,71,148,189,41,119,125
62,product-436,10,76,132,192,108,95,175
63,product-4088,10,82,116,26,49,96,26
64,product-4856,10,85,92,208,208,142,208
65,product-4675,11,24,161,226,101,33,140
66,product-4173,11,36,142,72,171,16,137
67,product-3457,11,45,51,127,128,181,220
68,product-293,11,59,22,189,160,158,71
69,product-1006,11,63,124,142,251,99,129
70,product-1630,11,72,44,147,33,87,59
71,product-1147,11,79,44,239,35,51,29
72,product-4250,11,79,41,215,195,76,191
73,product-2850,11,88,169,203,133,206,61
74,product-1708,11,100,48,123,39,51,159
75,product-357,12,14,133,191,166,110,158
76,product-1317,12,24,44,132,29,205,42
77,product-3204,12,25,256,186,37,113,199
78,product-682,12,29,179,91,220,167,95
79,product-4872,12,29,169,42,89,261,21
80,product-480,12,35,183,75,165,65,68
81,product-967,12,35,87,141,206,53,122
82,product-3439,12,54,73,253,229,51,208
83,product-3444,12,56,31,149,154,71,234
84,product-179,12,68,165,142,89,82,202
85,product-560,12,84,224,207,138,56,190
86,product-16,12,90,151,90,230,157,253
87,product-119,12,95,130,84,13,87,95
88,product-330,13,14,164,157,127,45,102
89,product-592,13,21,199,218,59,64,133
90,product-4160,13,48,171,135,78,112,115
91,product-2048,13,53,69,194,199,153,42
92,product-3213,13,71,75,80,199,67,179
93,product-352,13,92,82,72,87,57,127
94,product-1667,13,98,64,220,197,91,167
95,product-4390,13,98,159,173,121,119,120
96,product-2753,14,20,50,147,20,21,219
97,product-3300,14,28,103,143,48,64,132
98,product-4409,14,50,113,200,239,102,74
99,product-2067,14,59,55,98,42,141,99
100,product-190,14,78,120,128,90,127,206
101,product-1468,14,105,21,102,85,81,18
102,product-270,14,106,196,74,101,75,129
103,product-1518,14,108,233,61,251,62,59
104,product-631,15,29,128,10,48,171,141
105,product-550,15,63,83,137,123,180,184
106,product-982,15,67,206,54,131,74,125
107,product-2518,15,69,135,118,178,183,212
108,product-2918,16,22,181,210,191,68,142
109,product-4353,16,29,119,144,48,89,168
110,product-2052,16,32,33,167,21,89,90
111,product-2941,16,44,201,88,80,161,81
112,product-319,16,62,153,69,60,85,121
113,product-2465,16,68,228,173,8,71,185
114,product-575,16,83,140,94,185,240,158
115,product-2564,16,96,281,239,181,177,168
116,product-2493,16,107,72,80,75,70,9
117,product-2758,16,110,98,48,50,119,219
118,product-1182,16,114,78,192,215,110,192
119,product-3059,17,24,121,122,135,159,171
120,product-2528,17,36,56,148,52,104,30
121,product-862,17,48,22,215,112,107,43
122,product-2232,17,74,98,204,86,26,150
123,product-768,17,79,5,85,112,207,115
124,product-4401,17,81,204,195,49,203,12
125,product-2945,17,91,158,150,52,203,96
126,product-4385,17,97,93,52,47,158,125
127,product-3073,17,98,82,163,138,114,95
128,product-1224,17,99,202,123,40,230,52
129,product-4827,17,102,95,192,126,187,225
130,product-3731,18,35,57,246,155,22,85
131,product-1077,18,47,50,77,214,241,221
